date;World Athletics;Real Madrid;Rangers;Leila Farzad;air travel;isPartial
2022-01-02;0;3;17;0;1;False
2022-01-09;0;5;17;0;1;False
2022-01-16;0;3;26;0;1;False
2022-01-23;0;2;28;0;1;False
2022-01-30;0;3;41;0;1;False
2022-02-06;0;3;34;0;1;False
2022-02-13;0;8;25;0;1;False
2022-02-20;0;2;33;0;1;False
2022-02-27;0;2;32;0;1;False
2022-03-06;0;10;21;0;1;False
2022-03-13;1;4;31;0;1;False
2022-03-20;0;8;24;0;1;False
2022-03-27;0;3;14;0;1;False
2022-04-03;0;12;34;0;1;False
2022-04-10;0;14;42;0;1;False
2022-04-17;0;6;41;0;1;False
2022-04-24;0;18;27;0;1;False
2022-05-01;0;34;56;0;1;False
2022-05-08;0;7;39;0;1;False
2022-05-15;0;7;100;0;1;False
2022-05-22;0;43;17;0;1;False
2022-05-29;0;11;15;0;1;False
2022-06-05;0;2;14;0;1;False
2022-06-12;0;2;13;0;1;False
2022-06-19;0;2;16;0;1;False
2022-06-26;0;2;16;0;1;False
2022-07-03;0;2;21;0;1;False
2022-07-10;2;2;24;0;1;False
2022-07-17;9;2;37;0;1;False
2022-07-24;3;5;27;0;1;False
2022-07-31;1;3;31;0;1;False
2022-08-07;1;6;37;0;1;False
2022-08-14;1;6;31;0;1;False
2022-08-21;0;3;39;0;1;False
2022-08-28;0;5;44;0;1;False
2022-09-04;0;10;29;0;1;False
2022-09-11;0;6;34;0;1;False
2022-09-18;0;5;13;0;1;False
2022-09-25;0;2;17;0;1;False
2022-10-02;0;5;35;0;1;False
2022-10-09;0;4;33;0;1;False
2022-10-16;0;11;29;0;0;False
2022-10-23;0;4;27;0;0;False
2022-10-30;0;6;19;0;0;False
2022-11-06;0;5;32;0;0;False
2022-11-13;0;2;12;0;0;False
2022-11-20;0;2;22;0;1;False
2022-11-27;0;2;15;0;0;False
2022-12-04;0;2;15;0;0;False
2022-12-11;0;2;20;0;0;False
2022-12-18;0;2;25;0;0;False
2022-12-25;0;3;21;0;1;False
2023-01-01;0;3;29;0;1;False
2023-01-08;0;4;21;0;1;False
2023-01-15;0;8;42;0;1;False
2023-01-22;0;7;24;0;1;False
2023-01-29;0;5;30;0;1;False
