date;Shamima Begum;alphabet;Lenny Kravitz;britain's got talent;air travel;isPartial
2022-01-02;5;96;4;2;16;False
2022-01-09;4;98;6;3;18;False
2022-01-16;2;84;4;4;14;False
2022-01-23;8;88;3;3;15;False
2022-01-30;3;100;3;2;17;False
2022-02-06;2;80;4;2;17;False
2022-02-13;2;78;4;2;17;False
2022-02-20;2;85;6;2;17;False
2022-02-27;2;84;7;2;15;False
2022-03-06;2;82;10;1;16;False
2022-03-13;2;79;8;2;16;False
2022-03-20;1;76;7;2;15;False
2022-03-27;2;80;7;2;16;False
2022-04-03;1;78;6;2;15;False
2022-04-10;1;72;5;10;13;False
2022-04-17;1;74;5;22;14;False
2022-04-24;2;88;4;10;15;False
2022-05-01;1;74;6;13;15;False
2022-05-08;1;87;3;10;16;False
2022-05-15;1;84;4;10;16;False
2022-05-22;2;77;4;8;16;False
2022-05-29;1;69;6;47;16;False
2022-06-05;2;77;7;27;18;False
2022-06-12;4;78;8;3;15;False
2022-06-19;2;78;3;3;14;False
2022-06-26;2;72;3;2;15;False
2022-07-03;2;72;3;2;16;False
2022-07-10;2;75;2;2;17;False
2022-07-17;1;72;3;2;16;False
2022-07-24;4;83;7;2;16;False
2022-07-31;3;74;3;2;14;False
2022-08-07;2;73;4;2;14;False
2022-08-14;1;71;2;1;14;False
2022-08-21;1;72;3;2;12;False
2022-08-28;28;72;3;2;13;False
2022-09-04;4;78;2;2;14;False
2022-09-11;3;81;3;2;12;False
2022-09-18;5;81;2;2;12;False
2022-09-25;3;86;3;2;12;False
2022-10-02;2;87;2;2;12;False
2022-10-09;2;86;4;2;11;False
2022-10-16;2;78;2;1;10;False
2022-10-23;1;98;3;2;9;False
2022-10-30;2;84;2;1;9;False
2022-11-06;1;98;2;3;10;False
2022-11-13;2;90;3;2;9;False
2022-11-20;24;86;2;2;11;False
2022-11-27;5;87;3;2;11;False
2022-12-04;3;85;3;2;9;False
2022-12-11;3;86;3;2;9;False
2022-12-18;4;86;3;5;9;False
2022-12-25;2;75;4;3;12;False
2023-01-01;2;83;4;2;14;False
2023-01-08;17;92;2;3;12;False
2023-01-15;5;93;3;3;12;False
2023-01-22;6;96;7;3;11;False
2023-01-29;7;95;10;3;12;False
