date;Philadelphia 76ers;Pitlochry Festival theatre;Walking holidays;Adelaide;air travel;isPartial
2022-01-02;1;0;11;71;33;False
2022-01-09;2;0;11;67;39;False
2022-01-16;2;0;8;48;29;False
2022-01-23;1;1;11;47;32;False
2022-01-30;1;1;9;48;36;False
2022-02-06;3;1;9;43;36;False
2022-02-13;2;1;9;47;36;False
2022-02-20;1;1;9;43;37;False
2022-02-27;4;0;7;45;32;False
2022-03-06;2;1;8;44;34;False
2022-03-13;3;0;7;41;33;False
2022-03-20;3;1;8;47;33;False
2022-03-27;2;0;8;46;35;False
2022-04-03;3;0;8;47;32;False
2022-04-10;2;0;10;42;27;False
2022-04-17;3;1;8;44;30;False
2022-04-24;3;1;8;47;31;False
2022-05-01;3;1;9;72;32;False
2022-05-08;4;1;8;52;33;False
2022-05-15;1;2;8;49;35;False
2022-05-22;0;1;7;42;33;False
2022-05-29;1;2;9;46;33;False
2022-06-05;2;2;8;47;37;False
2022-06-12;3;2;9;91;34;False
2022-06-19;1;2;8;46;30;False
2022-06-26;1;2;8;46;33;False
2022-07-03;2;2;8;45;34;False
2022-07-10;1;2;6;49;36;False
2022-07-17;1;1;8;49;34;False
2022-07-24;1;1;8;51;34;False
2022-07-31;0;3;9;52;30;False
2022-08-07;0;2;8;53;29;False
2022-08-14;1;1;8;53;29;False
2022-08-21;0;1;7;100;25;False
2022-08-28;0;2;9;59;28;False
2022-09-04;2;2;7;72;30;False
2022-09-11;0;2;7;61;26;False
2022-09-18;1;2;7;73;25;False
2022-09-25;0;2;6;46;26;False
2022-10-02;0;2;7;51;24;False
2022-10-09;1;1;8;50;24;False
2022-10-16;2;1;8;46;21;False
2022-10-23;2;2;7;51;20;False
2022-10-30;1;1;6;96;20;False
2022-11-06;1;1;6;78;22;False
2022-11-13;2;1;6;57;19;False
2022-11-20;1;1;5;44;23;False
2022-11-27;1;1;5;45;23;False
2022-12-04;1;0;5;45;19;False
2022-12-11;1;1;3;48;20;False
2022-12-18;1;0;7;55;19;False
2022-12-25;1;0;11;66;25;False
2023-01-01;2;0;15;92;29;False
2023-01-08;1;1;12;81;26;False
2023-01-15;1;0;10;56;26;False
2023-01-22;1;0;12;49;24;False
2023-01-29;2;1;11;51;26;False
