date;Alexander Zverev;John Steinbeck;Kentucky;Compost;air travel;isPartial
2022-01-02;1;3;19;33;17;False
2022-01-09;0;1;17;37;20;False
2022-01-16;4;1;15;35;15;False
2022-01-23;2;1;16;36;16;False
2022-01-30;2;1;16;48;19;False
2022-02-06;1;1;16;47;19;False
2022-02-13;0;2;16;39;19;False
2022-02-20;9;1;14;45;19;False
2022-02-27;1;1;15;55;17;False
2022-03-06;2;1;17;61;18;False
2022-03-13;1;2;18;77;17;False
2022-03-20;1;1;17;100;17;False
2022-03-27;1;2;15;70;18;False
2022-04-03;0;1;17;67;17;False
2022-04-10;2;2;18;81;14;False
2022-04-17;1;2;19;90;16;False
2022-04-24;1;2;23;86;16;False
2022-05-01;2;2;40;88;17;False
2022-05-08;4;2;32;84;17;False
2022-05-15;0;6;17;76;18;False
2022-05-22;3;1;17;69;17;False
2022-05-29;20;1;18;68;17;False
2022-06-05;3;2;16;59;19;False
2022-06-12;1;1;18;61;17;False
2022-06-19;1;1;16;57;16;False
2022-06-26;2;0;16;49;17;False
2022-07-03;2;1;19;51;18;False
2022-07-10;1;1;19;50;18;False
2022-07-17;0;1;19;46;18;False
2022-07-24;0;0;28;46;17;False
2022-07-31;1;1;27;46;16;False
2022-08-07;1;1;18;46;15;False
2022-08-14;1;1;16;42;15;False
2022-08-21;0;1;15;45;13;False
2022-08-28;0;1;17;49;14;False
2022-09-04;1;2;14;40;15;False
2022-09-11;1;2;17;42;13;False
2022-09-18;0;1;14;44;13;False
2022-09-25;0;1;18;38;13;False
2022-10-02;0;2;16;43;13;False
2022-10-09;0;1;17;40;12;False
2022-10-16;0;1;17;36;11;False
2022-10-23;0;1;15;30;10;False
2022-10-30;0;1;20;29;10;False
2022-11-06;0;1;22;26;11;False
2022-11-13;1;1;18;24;10;False
2022-11-20;0;0;14;19;12;False
2022-11-27;1;1;16;21;12;False
2022-12-04;0;1;15;17;10;False
2022-12-11;0;2;17;14;10;False
2022-12-18;0;1;19;15;10;False
2022-12-25;0;1;19;19;13;False
2023-01-01;0;2;18;29;15;False
2023-01-08;1;2;16;27;14;False
2023-01-15;2;1;14;27;13;False
2023-01-22;0;1;17;30;12;False
2023-01-29;1;1;16;40;13;False
