date;Venezuela;Neuroscience;malta v northern ireland;Westerns;air travel;isPartial
2022-01-02;39;33;1;11;62;False
2022-01-09;56;32;0;7;72;False
2022-01-16;47;37;1;8;53;False
2022-01-23;55;31;0;8;59;False
2022-01-30;59;27;0;13;67;False
2022-02-06;46;26;1;8;67;False
2022-02-13;41;32;0;9;67;False
2022-02-20;67;33;0;12;68;False
2022-02-27;70;32;0;9;60;False
2022-03-06;100;36;0;8;63;False
2022-03-13;75;34;0;11;62;False
2022-03-20;97;27;0;11;61;False
2022-03-27;76;33;0;8;65;False
2022-04-03;58;29;0;10;60;False
2022-04-10;47;30;0;17;51;False
2022-04-17;48;29;0;7;56;False
2022-04-24;48;33;0;10;59;False
2022-05-01;61;30;0;10;60;False
2022-05-08;49;38;0;8;62;False
2022-05-15;60;34;0;11;65;False
2022-05-22;53;33;0;6;61;False
2022-05-29;48;26;0;7;62;False
2022-06-05;67;29;2;8;69;False
2022-06-12;56;27;0;7;62;False
2022-06-19;58;26;0;11;56;False
2022-06-26;50;26;0;9;61;False
2022-07-03;47;27;0;9;64;False
2022-07-10;53;27;2;7;66;False
2022-07-17;50;23;0;10;63;False
2022-07-24;54;23;1;10;62;False
2022-07-31;55;21;0;7;56;False
2022-08-07;45;21;0;8;55;False
2022-08-14;40;28;0;9;54;False
2022-08-21;41;24;1;7;47;False
2022-08-28;44;28;1;6;51;False
2022-09-04;44;29;0;11;55;False
2022-09-11;68;34;0;10;48;False
2022-09-18;61;33;0;9;47;False
2022-09-25;50;45;0;7;47;False
2022-10-02;50;39;0;6;45;False
2022-10-09;57;41;1;10;44;False
2022-10-16;52;37;0;5;40;False
2022-10-23;42;31;0;8;37;False
2022-10-30;46;36;0;8;37;False
2022-11-06;46;41;1;9;41;False
2022-11-13;54;40;0;9;35;False
2022-11-20;54;35;0;6;43;False
2022-11-27;52;35;0;10;42;False
2022-12-04;54;34;0;8;36;False
2022-12-11;49;26;0;11;37;False
2022-12-18;56;25;0;11;35;False
2022-12-25;55;17;0;10;46;False
2023-01-01;45;30;0;11;53;False
2023-01-08;44;36;0;7;49;False
2023-01-15;52;41;1;10;48;False
2023-01-22;55;41;0;6;44;False
2023-01-29;47;36;0;10;48;False
