date;Crosswords;Sam Riley;us capitol riots;Cosmetic surgery;air travel;isPartial
2022-01-02;47;1;0;32;90;False
2022-01-09;56;2;0;28;98;False
2022-01-16;57;2;0;32;77;False
2022-01-23;61;2;0;31;84;False
2022-01-30;58;3;2;35;95;False
2022-02-06;54;0;2;36;96;False
2022-02-13;59;5;0;34;96;False
2022-02-20;64;2;2;36;98;False
2022-02-27;63;3;0;37;86;False
2022-03-06;59;2;0;31;90;False
2022-03-13;56;1;1;33;90;False
2022-03-20;66;3;2;34;88;False
2022-03-27;50;2;0;56;93;False
2022-04-03;55;3;0;34;85;False
2022-04-10;60;3;0;35;74;False
2022-04-17;55;1;2;31;82;False
2022-04-24;54;2;0;28;84;False
2022-05-01;57;2;0;35;87;False
2022-05-08;60;10;0;33;89;False
2022-05-15;55;3;0;31;93;False
2022-05-22;66;2;0;33;88;False
2022-05-29;62;1;0;34;90;False
2022-06-05;61;6;0;31;100;False
2022-06-12;53;2;1;29;87;False
2022-06-19;62;3;0;33;81;False
2022-06-26;61;3;0;28;87;False
2022-07-03;56;3;0;29;92;False
2022-07-10;59;3;0;32;95;False
2022-07-17;66;2;1;36;91;False
2022-07-24;58;2;0;37;90;False
2022-07-31;54;2;0;31;81;False
2022-08-07;65;5;0;25;78;False
2022-08-14;50;2;1;31;77;False
2022-08-21;60;2;0;23;67;False
2022-08-28;60;2;0;24;74;False
2022-09-04;57;1;0;29;80;False
2022-09-11;54;1;0;28;69;False
2022-09-18;62;1;0;24;66;False
2022-09-25;55;2;0;20;68;False
2022-10-02;64;1;1;22;65;False
2022-10-09;64;3;1;25;63;False
2022-10-16;59;3;2;22;57;False
2022-10-23;62;3;0;26;53;False
2022-10-30;55;0;0;22;53;False
2022-11-06;63;3;0;37;59;False
2022-11-13;62;1;0;35;50;False
2022-11-20;52;1;0;21;62;False
2022-11-27;60;2;0;23;61;False
2022-12-04;58;1;0;23;52;False
2022-12-11;63;1;0;23;53;False
2022-12-18;64;1;0;26;50;False
2022-12-25;61;4;0;23;66;False
2023-01-01;64;3;1;31;77;False
2023-01-08;60;1;0;29;71;False
2023-01-15;65;3;0;39;69;False
2023-01-22;57;3;0;31;64;False
2023-01-29;68;3;0;31;69;False
