date;Iron Maiden;South and central Asia;Liberal party;Fringe theatre;air travel;isPartial
2022-01-02;23;0;2;0;36;False
2022-01-09;23;0;3;1;39;False
2022-01-16;24;0;3;1;31;False
2022-01-23;21;0;3;1;34;False
2022-01-30;21;1;4;0;38;False
2022-02-06;24;0;3;2;38;False
2022-02-13;21;1;2;1;38;False
2022-02-20;23;0;4;2;39;False
2022-02-27;23;0;2;1;34;False
2022-03-06;22;0;3;1;36;False
2022-03-13;22;0;2;1;36;False
2022-03-20;25;0;2;1;35;False
2022-03-27;23;0;3;1;37;False
2022-04-03;25;0;4;1;34;False
2022-04-10;24;0;5;1;30;False
2022-04-17;20;1;7;1;33;False
2022-04-24;21;0;7;1;34;False
2022-05-01;33;1;16;2;35;False
2022-05-08;25;0;5;2;36;False
2022-05-15;25;0;6;1;37;False
2022-05-22;37;0;4;2;35;False
2022-05-29;35;0;3;2;36;False
2022-06-05;47;1;2;3;40;False
2022-06-12;74;0;3;2;35;False
2022-06-19;30;0;3;1;33;False
2022-06-26;29;0;3;2;35;False
2022-07-03;43;0;6;1;37;False
2022-07-10;41;1;5;3;38;False
2022-07-17;29;0;4;3;36;False
2022-07-24;34;0;3;4;36;False
2022-07-31;26;1;2;8;32;False
2022-08-07;25;1;2;13;31;False
2022-08-14;23;0;2;8;31;False
2022-08-21;20;0;2;8;27;False
2022-08-28;24;0;2;2;30;False
2022-09-04;22;0;5;2;32;False
2022-09-11;20;0;4;1;28;False
2022-09-18;19;0;4;1;26;False
2022-09-25;24;0;5;1;27;False
2022-10-02;57;0;5;1;26;False
2022-10-09;100;1;3;1;25;False
2022-10-16;44;0;7;1;23;False
2022-10-23;35;0;7;1;21;False
2022-10-30;29;0;2;1;21;False
2022-11-06;26;0;3;1;24;False
2022-11-13;29;1;2;1;20;False
2022-11-20;23;0;2;1;25;False
2022-11-27;29;0;1;0;24;False
2022-12-04;25;0;2;1;21;False
2022-12-11;25;0;1;1;21;False
2022-12-18;25;0;2;1;20;False
2022-12-25;28;0;2;0;26;False
2023-01-01;82;0;9;1;31;False
2023-01-08;38;0;2;1;28;False
2023-01-15;34;0;2;1;28;False
2023-01-22;31;0;3;1;26;False
2023-01-29;31;0;3;2;28;False
