date;Friendship;lucy letby;Horror books;Alibaba;air travel;isPartial
2023-01-01;89;5;3;60;27;False
2023-01-02;91;3;3;68;32;False
2023-01-03;64;13;4;80;21;False
2023-01-04;63;10;7;84;32;False
2023-01-05;65;16;3;78;26;False
2023-01-06;82;10;5;68;26;False
2023-01-07;73;5;19;53;19;False
2023-01-08;76;9;3;68;30;False
2023-01-09;83;20;3;76;18;False
2023-01-10;65;12;2;66;28;False
2023-01-11;72;21;4;73;32;False
2023-01-12;83;13;0;64;27;False
2023-01-13;68;16;2;61;21;False
2023-01-14;90;8;2;50;20;False
2023-01-15;81;11;4;49;24;False
2023-01-16;80;18;0;56;24;False
2023-01-17;66;13;8;68;20;False
2023-01-18;94;19;0;66;29;False
2023-01-19;74;18;0;64;26;False
2023-01-20;76;16;4;56;21;False
2023-01-21;88;14;3;51;23;False
2023-01-22;93;5;6;55;25;False
2023-01-23;67;20;3;64;26;False
2023-01-24;79;14;5;56;20;False
2023-01-25;57;62;3;50;27;False
2023-01-26;72;26;3;75;24;False
2023-01-27;73;27;2;68;17;False
2023-01-28;78;17;4;56;24;False
2023-01-29;100;11;4;57;22;False
2023-01-30;71;17;3;67;36;False
2023-01-31;83;20;7;67;30;False
