date;Kent holidays;Plácido Domingo;jair bolsonaro;Oxfam;air travel;isPartial
2022-01-02;12;1;3;91;57;False
2022-01-09;10;0;2;91;62;False
2022-01-16;11;2;0;78;48;False
2022-01-23;14;0;0;73;53;False
2022-01-30;12;0;1;82;60;False
2022-02-06;10;1;0;78;60;False
2022-02-13;9;0;0;67;60;False
2022-02-20;9;0;1;84;62;False
2022-02-27;8;0;2;79;54;False
2022-03-06;11;0;1;84;57;False
2022-03-13;13;0;2;84;56;False
2022-03-20;11;0;1;82;55;False
2022-03-27;14;0;1;78;59;False
2022-04-03;14;0;1;69;54;False
2022-04-10;14;0;1;78;46;False
2022-04-17;15;0;0;71;52;False
2022-04-24;9;0;1;69;53;False
2022-05-01;12;0;1;76;55;False
2022-05-08;9;0;0;70;56;False
2022-05-15;11;0;1;75;59;False
2022-05-22;10;0;2;68;55;False
2022-05-29;12;0;0;78;57;False
2022-06-05;8;0;3;79;63;False
2022-06-12;9;0;1;69;55;False
2022-06-19;12;0;0;71;51;False
2022-06-26;9;0;1;67;55;False
2022-07-03;14;0;1;69;58;False
2022-07-10;15;0;0;69;60;False
2022-07-17;14;1;1;65;57;False
2022-07-24;12;2;1;79;57;False
2022-07-31;11;1;0;73;51;False
2022-08-07;14;0;0;71;49;False
2022-08-14;13;0;1;70;49;False
2022-08-21;14;1;4;81;42;False
2022-08-28;10;1;0;84;47;False
2022-09-04;9;0;4;79;50;False
2022-09-11;9;0;6;84;44;False
2022-09-18;7;0;7;74;42;False
2022-09-25;8;0;3;81;43;False
2022-10-02;6;0;8;83;41;False
2022-10-09;7;0;1;75;39;False
2022-10-16;9;0;3;76;36;False
2022-10-23;7;0;3;75;34;False
2022-10-30;7;0;25;88;33;False
2022-11-06;6;0;2;94;37;False
2022-11-13;4;0;2;87;31;False
2022-11-20;6;0;2;85;39;False
2022-11-27;6;1;1;92;38;False
2022-12-04;5;0;3;91;33;False
2022-12-11;4;1;3;98;34;False
2022-12-18;8;0;1;99;31;False
2022-12-25;10;0;2;94;41;False
2023-01-01;16;0;14;91;48;False
2023-01-08;12;0;23;91;45;False
2023-01-15;10;0;1;84;43;False
2023-01-22;14;1;2;82;40;False
2023-01-29;8;0;0;100;43;False
