date;egypt;Toys;justin bieber;Metal;air travel;isPartial
2022-01-02;15;51;4;53;2;False
2022-01-09;24;47;4;50;2;False
2022-01-16;18;43;4;55;2;False
2022-01-23;26;47;4;59;2;False
2022-01-30;43;50;4;61;2;False
2022-02-06;38;46;4;49;2;False
2022-02-13;15;43;5;54;2;False
2022-02-20;17;48;5;58;2;False
2022-02-27;15;47;5;57;2;False
2022-03-06;15;48;4;62;2;False
2022-03-13;15;46;5;61;2;False
2022-03-20;22;51;5;66;2;False
2022-03-27;27;42;4;60;2;False
2022-04-03;17;46;6;58;2;False
2022-04-10;15;52;5;63;2;False
2022-04-17;16;45;4;59;2;False
2022-04-24;15;43;5;59;2;False
2022-05-01;20;48;5;63;2;False
2022-05-08;18;43;4;59;2;False
2022-05-15;14;41;3;59;2;False
2022-05-22;14;41;4;59;2;False
2022-05-29;12;45;4;55;2;False
2022-06-05;16;42;15;57;2;False
2022-06-12;14;40;19;57;2;False
2022-06-19;13;42;7;54;2;False
2022-06-26;15;46;6;54;2;False
2022-07-03;18;44;5;54;2;False
2022-07-10;12;46;4;56;2;False
2022-07-17;15;46;4;48;2;False
2022-07-24;12;52;4;58;2;False
2022-07-31;12;48;4;57;2;False
2022-08-07;12;45;4;59;2;False
2022-08-14;11;49;3;53;2;False
2022-08-21;12;50;4;55;2;False
2022-08-28;12;54;4;58;2;False
2022-09-04;11;50;5;54;2;False
2022-09-11;13;55;4;54;2;False
2022-09-18;13;58;3;53;2;False
2022-09-25;14;66;4;55;2;False
2022-10-02;13;68;4;53;2;False
2022-10-09;13;68;3;53;1;False
2022-10-16;13;70;4;53;1;False
2022-10-23;14;72;3;53;1;False
2022-10-30;16;80;3;51;1;False
2022-11-06;17;94;3;53;1;False
2022-11-13;19;92;3;53;1;False
2022-11-20;14;92;3;50;1;False
2022-11-27;12;100;3;51;1;False
2022-12-04;11;92;3;52;1;False
2022-12-11;12;89;3;46;1;False
2022-12-18;12;82;7;40;1;False
2022-12-25;14;57;4;48;2;False
2023-01-01;19;45;3;54;2;False
2023-01-08;21;38;3;53;2;False
2023-01-15;19;39;3;56;2;False
2023-01-22;18;42;5;56;1;False
2023-01-29;18;41;4;59;2;False
