date;Duchy of Cornwall;The papacy;Metropolitan police;Mamma Mia! Here We Go Again;air travel;isPartial
2022-01-02;4;0;33;0;87;False
2022-01-09;5;0;49;0;100;False
2022-01-16;3;1;40;0;74;False
2022-01-23;5;2;48;0;82;False
2022-01-30;7;2;49;0;93;False
2022-02-06;3;0;83;0;93;False
2022-02-13;7;1;36;0;94;False
2022-02-20;7;0;34;0;95;False
2022-02-27;5;1;34;0;83;False
2022-03-06;3;0;35;0;88;False
2022-03-13;3;1;45;0;87;False
2022-03-20;6;2;40;0;85;False
2022-03-27;6;0;37;0;90;False
2022-04-03;5;0;34;0;84;False
2022-04-10;4;1;30;0;71;False
2022-04-17;6;1;31;0;78;False
2022-04-24;4;0;29;0;82;False
2022-05-01;4;1;29;0;84;False
2022-05-08;4;0;39;0;87;False
2022-05-15;5;2;30;0;90;False
2022-05-22;3;2;32;0;85;False
2022-05-29;8;2;30;0;87;False
2022-06-05;6;4;33;0;97;False
2022-06-12;6;2;29;0;87;False
2022-06-19;5;1;34;0;79;False
2022-06-26;5;2;40;0;85;False
2022-07-03;3;1;36;0;89;False
2022-07-10;2;0;37;0;92;False
2022-07-17;5;0;26;0;88;False
2022-07-24;4;1;27;0;87;False
2022-07-31;3;0;30;0;78;False
2022-08-07;4;0;28;0;76;False
2022-08-14;3;0;30;0;75;False
2022-08-21;5;0;30;0;65;False
2022-08-28;5;1;33;0;72;False
2022-09-04;64;2;35;0;77;False
2022-09-11;54;1;47;0;67;False
2022-09-18;24;1;39;0;66;False
2022-09-25;10;2;36;0;66;False
2022-10-02;8;1;37;0;63;False
2022-10-09;9;1;33;0;62;False
2022-10-16;4;1;31;0;55;False
2022-10-23;7;0;34;0;52;False
2022-10-30;6;2;31;0;51;False
2022-11-06;6;0;38;0;58;False
2022-11-13;11;0;29;0;48;False
2022-11-20;8;1;30;0;60;False
2022-11-27;6;3;27;0;59;False
2022-12-04;10;0;23;0;50;False
2022-12-11;4;0;29;0;52;False
2022-12-18;7;0;21;0;48;False
2022-12-25;11;2;22;0;64;False
2023-01-01;6;3;23;0;74;False
2023-01-08;6;0;31;0;69;False
2023-01-15;9;1;58;0;67;False
2023-01-22;6;0;35;0;62;False
2023-01-29;5;1;33;0;67;False
