date;Rivers;obesity;North-south divide;Joe Wicks;air travel;isPartial
2022-01-02;66;27;0;46;22;False
2022-01-09;79;29;0;40;26;False
2022-01-16;65;25;0;37;19;False
2022-01-23;65;25;0;33;21;False
2022-01-30;69;23;0;40;24;False
2022-02-06;66;27;0;30;24;False
2022-02-13;62;27;0;26;24;False
2022-02-20;65;25;0;28;24;False
2022-02-27;65;28;0;25;21;False
2022-03-06;69;31;0;30;22;False
2022-03-13;76;28;0;48;22;False
2022-03-20;84;30;0;38;22;False
2022-03-27;75;27;0;39;23;False
2022-04-03;69;29;0;29;21;False
2022-04-10;70;24;0;23;18;False
2022-04-17;68;26;0;20;20;False
2022-04-24;69;30;0;22;21;False
2022-05-01;73;31;0;28;21;False
2022-05-08;72;33;0;34;22;False
2022-05-15;71;32;0;100;23;False
2022-05-22;73;26;0;32;22;False
2022-05-29;63;19;0;23;22;False
2022-06-05;72;24;0;25;25;False
2022-06-12;75;22;0;22;22;False
2022-06-19;72;20;1;22;20;False
2022-06-26;64;19;0;27;22;False
2022-07-03;66;18;0;22;23;False
2022-07-10;73;19;0;18;24;False
2022-07-17;69;19;1;20;22;False
2022-07-24;62;15;0;24;22;False
2022-07-31;61;14;0;21;20;False
2022-08-07;78;16;0;22;19;False
2022-08-14;71;17;0;21;19;False
2022-08-21;66;13;0;22;17;False
2022-08-28;64;14;0;23;18;False
2022-09-04;59;17;0;40;20;False
2022-09-11;67;22;0;35;17;False
2022-09-18;65;16;0;19;17;False
2022-09-25;62;20;0;20;17;False
2022-10-02;62;21;0;22;16;False
2022-10-09;63;24;0;19;16;False
2022-10-16;60;23;0;20;14;False
2022-10-23;60;20;0;19;13;False
2022-10-30;59;22;0;20;13;False
2022-11-06;62;23;0;25;15;False
2022-11-13;59;25;0;27;12;False
2022-11-20;50;23;0;20;15;False
2022-11-27;57;28;0;20;15;False
2022-12-04;55;26;0;16;13;False
2022-12-11;55;22;0;18;13;False
2022-12-18;49;15;0;14;12;False
2022-12-25;56;15;0;19;16;False
2023-01-01;68;22;0;30;19;False
2023-01-08;66;25;0;30;18;False
2023-01-15;68;27;0;26;17;False
2023-01-22;69;26;0;23;16;False
2023-01-29;68;24;0;23;17;False
