date;Fishing;Hospitals;Eric Pickles;Boston;air travel;isPartial
2022-01-02;70;18;0;43;5;False
2022-01-09;57;14;0;44;5;False
2022-01-16;61;15;0;38;4;False
2022-01-23;60;15;0;46;5;False
2022-01-30;62;14;0;45;5;False
2022-02-06;57;14;0;44;5;False
2022-02-13;57;13;0;44;5;False
2022-02-20;54;14;0;44;5;False
2022-02-27;56;13;0;45;5;False
2022-03-06;59;14;0;46;5;False
2022-03-13;65;14;0;46;5;False
2022-03-20;72;14;0;47;5;False
2022-03-27;64;13;0;48;5;False
2022-04-03;65;13;1;46;5;False
2022-04-10;79;12;1;50;4;False
2022-04-17;78;12;0;64;5;False
2022-04-24;76;12;0;46;5;False
2022-05-01;80;13;0;52;5;False
2022-05-08;79;13;0;49;5;False
2022-05-15;79;13;0;55;5;False
2022-05-22;78;13;0;50;5;False
2022-05-29;92;10;0;52;5;False
2022-06-05;83;14;0;53;6;False
2022-06-12;91;13;0;53;5;False
2022-06-19;88;12;0;49;5;False
2022-06-26;87;12;0;46;5;False
2022-07-03;86;12;0;46;5;False
2022-07-10;90;12;0;53;5;False
2022-07-17;91;11;0;52;5;False
2022-07-24;93;12;0;72;5;False
2022-07-31;93;11;0;55;5;False
2022-08-07;100;12;0;49;4;False
2022-08-14;84;12;0;46;4;False
2022-08-21;89;12;0;51;4;False
2022-08-28;89;11;0;52;4;False
2022-09-04;79;12;0;47;4;False
2022-09-11;79;14;0;50;4;False
2022-09-18;79;12;0;49;4;False
2022-09-25;68;12;0;47;4;False
2022-10-02;77;13;0;52;4;False
2022-10-09;71;13;0;47;3;False
2022-10-16;67;14;0;50;3;False
2022-10-23;70;12;0;45;3;False
2022-10-30;62;12;0;48;3;False
2022-11-06;57;14;0;46;3;False
2022-11-13;58;13;0;40;3;False
2022-11-20;49;12;0;40;3;False
2022-11-27;53;14;0;48;3;False
2022-12-04;50;12;0;43;3;False
2022-12-11;51;14;0;42;3;False
2022-12-18;50;12;0;45;3;False
2022-12-25;69;9;0;49;4;False
2023-01-01;59;14;0;50;4;False
2023-01-08;56;14;0;45;4;False
2023-01-15;56;14;0;47;4;False
2023-01-22;56;13;0;48;4;False
2023-01-29;57;14;0;50;4;False
