date;Michelle Mone;Airline industry;Entrepreneurs;Ocado;air travel;isPartial
2022-01-02;12;0;3;72;11;False
2022-01-09;3;0;4;68;12;False
2022-01-16;3;0;4;70;10;False
2022-01-23;1;0;4;73;11;False
2022-01-30;1;0;4;74;12;False
2022-02-06;1;0;4;77;12;False
2022-02-13;0;0;4;69;12;False
2022-02-20;0;0;4;85;12;False
2022-02-27;0;0;3;66;11;False
2022-03-06;0;0;3;75;11;False
2022-03-13;0;1;4;70;11;False
2022-03-20;1;1;4;80;11;False
2022-03-27;5;1;4;75;12;False
2022-04-03;1;0;4;78;11;False
2022-04-10;0;0;3;70;9;False
2022-04-17;0;0;3;67;10;False
2022-04-24;8;1;3;68;11;False
2022-05-01;6;1;3;77;11;False
2022-05-08;3;1;4;71;11;False
2022-05-15;1;0;4;82;12;False
2022-05-22;0;0;3;83;11;False
2022-05-29;0;0;3;71;11;False
2022-06-05;1;0;4;77;13;False
2022-06-12;0;0;2;77;11;False
2022-06-19;0;1;3;79;10;False
2022-06-26;0;0;3;69;11;False
2022-07-03;0;0;3;73;12;False
2022-07-10;0;0;3;84;12;False
2022-07-17;0;0;3;73;11;False
2022-07-24;0;0;3;72;11;False
2022-07-31;0;0;3;70;10;False
2022-08-07;1;0;2;71;10;False
2022-08-14;0;0;3;64;10;False
2022-08-21;0;0;3;67;8;False
2022-08-28;1;0;3;64;9;False
2022-09-04;0;0;5;65;10;False
2022-09-11;1;0;5;74;9;False
2022-09-18;0;0;5;65;8;False
2022-09-25;1;0;5;76;9;False
2022-10-02;1;0;4;83;8;False
2022-10-09;0;1;4;78;8;False
2022-10-16;0;1;4;79;7;False
2022-10-23;0;0;4;83;7;False
2022-10-30;0;1;4;92;7;False
2022-11-06;0;1;4;87;7;False
2022-11-13;0;1;4;94;6;False
2022-11-20;28;1;3;79;8;False
2022-11-27;17;1;3;89;8;False
2022-12-04;70;1;4;86;6;False
2022-12-11;10;0;3;100;7;False
2022-12-18;15;0;2;76;6;False
2022-12-25;3;0;2;52;8;False
2023-01-01;4;0;3;69;10;False
2023-01-08;2;1;3;72;9;False
2023-01-15;2;1;4;97;9;False
2023-01-22;4;0;3;75;8;False
2023-01-29;5;0;4;83;9;False
