date;air travel;isPartial
2022-01-02;90;False
2022-01-09;98;False
2022-01-16;77;False
2022-01-23;84;False
2022-01-30;95;False
2022-02-06;96;False
2022-02-13;96;False
2022-02-20;98;False
2022-02-27;86;False
2022-03-06;90;False
2022-03-13;90;False
2022-03-20;88;False
2022-03-27;93;False
2022-04-03;85;False
2022-04-10;74;False
2022-04-17;82;False
2022-04-24;84;False
2022-05-01;87;False
2022-05-08;89;False
2022-05-15;93;False
2022-05-22;88;False
2022-05-29;90;False
2022-06-05;100;False
2022-06-12;87;False
2022-06-19;81;False
2022-06-26;87;False
2022-07-03;92;False
2022-07-10;95;False
2022-07-17;91;False
2022-07-24;90;False
2022-07-31;81;False
2022-08-07;78;False
2022-08-14;77;False
2022-08-21;67;False
2022-08-28;74;False
2022-09-04;80;False
2022-09-11;69;False
2022-09-18;66;False
2022-09-25;68;False
2022-10-02;65;False
2022-10-09;63;False
2022-10-16;57;False
2022-10-23;53;False
2022-10-30;53;False
2022-11-06;59;False
2022-11-13;50;False
2022-11-20;62;False
2022-11-27;61;False
2022-12-04;52;False
2022-12-11;53;False
2022-12-18;50;False
2022-12-25;66;False
2023-01-01;77;False
2023-01-08;71;False
2023-01-15;69;False
2023-01-22;64;False
2023-01-29;69;False
