date;Malcolm McLaren;Diamonds;University of Liverpool;cheshire;air travel;isPartial
2022-01-02;0;29;6;100;8;False
2022-01-09;0;28;6;100;9;False
2022-01-16;1;27;6;86;7;False
2022-01-23;0;28;7;88;7;False
2022-01-30;0;37;8;93;9;False
2022-02-06;0;40;6;92;9;False
2022-02-13;0;32;5;86;9;False
2022-02-20;0;29;6;91;9;False
2022-02-27;0;26;5;88;8;False
2022-03-06;0;25;7;88;8;False
2022-03-13;0;27;6;80;8;False
2022-03-20;0;28;7;87;8;False
2022-03-27;0;25;5;87;8;False
2022-04-03;1;25;5;92;8;False
2022-04-10;0;26;4;89;7;False
2022-04-17;0;24;4;83;7;False
2022-04-24;0;23;5;80;7;False
2022-05-01;0;25;6;94;8;False
2022-05-08;0;23;6;82;8;False
2022-05-15;0;24;6;89;8;False
2022-05-22;0;24;5;86;8;False
2022-05-29;6;27;4;96;8;False
2022-06-05;6;27;5;88;9;False
2022-06-12;4;26;5;87;8;False
2022-06-19;3;25;5;88;7;False
2022-06-26;2;26;4;85;8;False
2022-07-03;1;25;5;89;8;False
2022-07-10;1;25;4;89;8;False
2022-07-17;1;28;5;89;8;False
2022-07-24;1;28;3;94;8;False
2022-07-31;1;27;4;93;7;False
2022-08-07;0;26;4;97;7;False
2022-08-14;0;26;7;92;7;False
2022-08-21;1;29;5;97;6;False
2022-08-28;1;28;5;100;7;False
2022-09-04;1;25;6;92;7;False
2022-09-11;0;26;7;86;6;False
2022-09-18;1;27;9;81;6;False
2022-09-25;0;24;8;83;6;False
2022-10-02;0;24;8;80;6;False
2022-10-09;0;26;8;84;6;False
2022-10-16;0;25;7;87;5;False
2022-10-23;0;25;6;92;5;False
2022-10-30;1;24;6;84;5;False
2022-11-06;0;26;6;82;5;False
2022-11-13;1;28;6;83;4;False
2022-11-20;0;26;5;74;6;False
2022-11-27;0;28;5;79;5;False
2022-12-04;0;27;5;74;5;False
2022-12-11;0;28;5;80;5;False
2022-12-18;0;30;4;85;4;False
2022-12-25;6;30;2;92;6;False
2023-01-01;1;26;5;88;7;False
2023-01-08;1;25;7;78;6;False
2023-01-15;0;26;5;84;6;False
2023-01-22;1;27;6;84;6;False
2023-01-29;1;27;6;82;6;False
