date;lewis capaldi;Leoš Janáček;Corporate social responsibility;MMA;air travel;isPartial
2022-01-02;5;0;0;22;10;False
2022-01-09;5;0;0;26;11;False
2022-01-16;4;0;0;25;8;False
2022-01-23;5;0;0;30;9;False
2022-01-30;7;0;0;28;10;False
2022-02-06;6;0;0;26;10;False
2022-02-13;5;0;0;32;10;False
2022-02-20;5;0;0;31;11;False
2022-02-27;6;0;0;26;9;False
2022-03-06;4;0;0;30;10;False
2022-03-13;5;0;0;32;10;False
2022-03-20;5;0;0;39;9;False
2022-03-27;5;0;0;28;10;False
2022-04-03;4;0;0;27;9;False
2022-04-10;5;0;0;29;8;False
2022-04-17;5;0;0;26;9;False
2022-04-24;5;0;0;25;9;False
2022-05-01;5;0;0;28;9;False
2022-05-08;6;0;0;40;10;False
2022-05-15;5;0;0;29;10;False
2022-05-22;5;0;0;22;10;False
2022-05-29;7;0;0;23;10;False
2022-06-05;8;0;0;23;11;False
2022-06-12;15;0;0;25;9;False
2022-06-19;15;0;0;23;9;False
2022-06-26;20;0;0;24;9;False
2022-07-03;10;0;0;30;10;False
2022-07-10;14;0;0;26;10;False
2022-07-17;11;0;0;33;10;False
2022-07-24;7;0;0;31;10;False
2022-07-31;7;0;0;28;9;False
2022-08-07;15;0;0;27;8;False
2022-08-14;7;0;0;26;8;False
2022-08-21;9;0;0;40;7;False
2022-08-28;25;0;0;27;8;False
2022-09-04;37;0;0;28;9;False
2022-09-11;47;0;0;31;7;False
2022-09-18;36;0;0;29;7;False
2022-09-25;38;0;0;29;7;False
2022-10-02;23;0;0;25;7;False
2022-10-09;40;0;0;23;7;False
2022-10-16;64;0;0;28;6;False
2022-10-23;100;0;0;28;6;False
2022-10-30;27;0;0;32;6;False
2022-11-06;22;0;0;25;6;False
2022-11-13;26;0;0;31;5;False
2022-11-20;15;0;0;27;7;False
2022-11-27;25;0;0;25;7;False
2022-12-04;24;0;0;24;6;False
2022-12-11;33;0;0;28;6;False
2022-12-18;22;0;0;24;5;False
2022-12-25;24;0;0;21;7;False
2023-01-01;37;0;0;23;8;False
2023-01-08;40;0;0;30;8;False
2023-01-15;62;0;0;26;7;False
2023-01-22;49;0;0;26;7;False
2023-01-29;62;0;0;35;7;False
