date;Radio comedy;Retro games;Steve McQueen;Richard Curtis;air travel;isPartial
2022-01-02;9;21;45;9;82;False
2022-01-09;12;16;43;9;94;False
2022-01-16;9;15;39;10;70;False
2022-01-23;8;18;23;8;77;False
2022-01-30;7;12;30;21;89;False
2022-02-06;7;16;28;3;88;False
2022-02-13;8;15;26;5;89;False
2022-02-20;8;15;32;9;90;False
2022-02-27;7;17;25;4;79;False
2022-03-06;9;16;27;7;83;False
2022-03-13;8;16;37;13;82;False
2022-03-20;10;16;40;8;80;False
2022-03-27;6;15;24;8;85;False
2022-04-03;7;20;28;7;79;False
2022-04-10;10;17;39;9;67;False
2022-04-17;8;19;37;33;74;False
2022-04-24;8;17;26;9;77;False
2022-05-01;7;17;30;5;80;False
2022-05-08;11;17;28;5;82;False
2022-05-15;9;12;22;6;85;False
2022-05-22;7;16;22;5;80;False
2022-05-29;7;15;35;6;82;False
2022-06-05;9;17;41;5;92;False
2022-06-12;5;16;67;5;82;False
2022-06-19;7;13;35;6;74;False
2022-06-26;7;19;27;6;80;False
2022-07-03;9;16;31;4;84;False
2022-07-10;7;15;25;5;87;False
2022-07-17;6;14;25;5;83;False
2022-07-24;8;14;38;6;82;False
2022-07-31;9;13;39;26;74;False
2022-08-07;8;17;28;4;72;False
2022-08-14;8;8;34;6;71;False
2022-08-21;11;15;31;9;62;False
2022-08-28;11;15;35;10;68;False
2022-09-04;9;15;27;7;73;False
2022-09-11;9;12;27;7;64;False
2022-09-18;10;16;32;5;62;False
2022-09-25;8;17;24;7;63;False
2022-10-02;10;20;24;5;60;False
2022-10-09;8;16;27;7;58;False
2022-10-16;3;18;31;5;52;False
2022-10-23;9;20;51;9;49;False
2022-10-30;9;18;29;8;48;False
2022-11-06;10;21;29;6;54;False
2022-11-13;7;24;21;10;46;False
2022-11-20;6;24;26;6;57;False
2022-11-27;8;32;24;14;56;False
2022-12-04;9;22;18;13;47;False
2022-12-11;6;34;27;11;49;False
2022-12-18;13;26;22;27;46;False
2022-12-25;9;27;100;34;61;False
2023-01-01;9;19;25;11;70;False
2023-01-08;10;24;28;7;65;False
2023-01-15;8;19;33;8;64;False
2023-01-22;8;22;25;7;58;False
2023-01-29;8;19;21;25;63;False
