date;biodiversity;Jennifer Aniston;sadiq khan;Just Stop Oil;air travel;isPartial
2022-01-02;11;41;12;0;27;False
2022-01-09;16;43;7;0;29;False
2022-01-16;17;43;13;0;23;False
2022-01-23;19;40;6;0;25;False
2022-01-30;16;41;7;0;28;False
2022-02-06;20;55;28;0;28;False
2022-02-13;18;48;18;0;29;False
2022-02-20;16;40;8;1;29;False
2022-02-27;18;33;10;1;26;False
2022-03-06;21;34;7;1;27;False
2022-03-13;21;35;6;13;27;False
2022-03-20;22;35;7;4;26;False
2022-03-27;20;34;5;12;28;False
2022-04-03;17;33;6;11;25;False
2022-04-10;12;42;6;15;22;False
2022-04-17;16;34;6;3;24;False
2022-04-24;21;29;3;6;25;False
2022-05-01;19;36;9;3;26;False
2022-05-08;23;26;13;2;27;False
2022-05-15;22;31;9;2;28;False
2022-05-22;22;53;9;1;26;False
2022-05-29;12;51;11;1;27;False
2022-06-05;20;31;11;1;30;False
2022-06-12;23;46;5;1;26;False
2022-06-19;17;35;5;1;24;False
2022-06-26;13;30;8;2;26;False
2022-07-03;13;28;12;8;27;False
2022-07-10;12;33;9;2;28;False
2022-07-17;9;42;10;9;27;False
2022-07-24;10;53;4;2;27;False
2022-07-31;8;34;5;2;24;False
2022-08-07;9;43;3;1;23;False
2022-08-14;8;42;7;0;23;False
2022-08-21;11;36;4;5;20;False
2022-08-28;10;35;7;2;22;False
2022-09-04;12;39;9;1;24;False
2022-09-11;15;38;5;3;21;False
2022-09-18;15;25;4;2;20;False
2022-09-25;16;29;5;5;20;False
2022-10-02;18;29;5;6;19;False
2022-10-09;17;26;6;29;19;False
2022-10-16;16;30;7;49;17;False
2022-10-23;14;30;14;33;16;False
2022-10-30;15;35;7;24;16;False
2022-11-06;18;100;6;96;18;False
2022-11-13;18;100;6;19;15;False
2022-11-20;17;33;8;7;19;False
2022-11-27;16;34;7;16;18;False
2022-12-04;17;30;5;8;15;False
2022-12-11;15;34;4;5;16;False
2022-12-18;12;33;7;4;15;False
2022-12-25;5;41;4;4;20;False
2023-01-01;14;50;5;3;23;False
2023-01-08;19;31;8;4;21;False
2023-01-15;20;37;11;4;20;False
2023-01-22;19;32;13;3;19;False
2023-01-29;21;41;12;2;20;False
