date;Thailand;flybe;Arts policy;Alister Jack;air travel;isPartial
2022-01-02;64;2;0;0;8;False
2022-01-09;55;2;0;1;9;False
2022-01-16;58;2;0;0;7;False
2022-01-23;60;3;0;0;8;False
2022-01-30;59;3;0;1;9;False
2022-02-06;53;3;0;0;9;False
2022-02-13;57;2;0;0;9;False
2022-02-20;64;3;0;0;9;False
2022-02-27;65;3;0;0;8;False
2022-03-06;71;3;0;0;8;False
2022-03-13;68;5;0;0;8;False
2022-03-20;68;20;0;0;8;False
2022-03-27;62;7;0;0;9;False
2022-04-03;57;6;0;0;8;False
2022-04-10;66;9;0;0;7;False
2022-04-17;66;7;0;0;8;False
2022-04-24;68;7;0;0;8;False
2022-05-01;73;7;0;0;8;False
2022-05-08;57;7;0;0;8;False
2022-05-15;58;7;0;0;9;False
2022-05-22;57;7;0;0;8;False
2022-05-29;50;7;0;0;8;False
2022-06-05;63;7;0;0;9;False
2022-06-12;59;7;0;0;8;False
2022-06-19;57;8;0;0;8;False
2022-06-26;52;8;0;0;8;False
2022-07-03;59;7;0;1;9;False
2022-07-10;66;7;0;0;9;False
2022-07-17;59;7;0;0;8;False
2022-07-24;57;8;0;0;8;False
2022-07-31;67;7;0;0;7;False
2022-08-07;76;6;0;0;7;False
2022-08-14;66;7;0;0;7;False
2022-08-21;63;8;0;0;6;False
2022-08-28;60;7;0;0;7;False
2022-09-04;56;7;0;1;7;False
2022-09-11;57;6;0;1;6;False
2022-09-18;57;6;0;0;6;False
2022-09-25;57;6;0;0;6;False
2022-10-02;99;7;0;0;6;False
2022-10-09;69;7;0;0;6;False
2022-10-16;52;7;0;0;5;False
2022-10-23;58;6;0;1;5;False
2022-10-30;68;8;0;0;5;False
2022-11-06;63;8;0;0;6;False
2022-11-13;64;7;0;0;5;False
2022-11-20;56;6;0;0;6;False
2022-11-27;57;6;0;0;6;False
2022-12-04;50;5;0;0;5;False
2022-12-11;58;6;0;0;5;False
2022-12-18;69;5;0;0;5;False
2022-12-25;90;6;0;0;6;False
2023-01-01;100;8;0;0;7;False
2023-01-08;91;7;0;0;7;False
2023-01-15;86;7;0;2;6;False
2023-01-22;78;37;0;0;6;False
2023-01-29;72;15;0;0;6;False
