date;Martin Sorrell;Side dishes;johnny depp;royal mail;air travel;isPartial
2022-01-02;0;0;1;34;1;False
2022-01-09;0;0;1;32;1;False
2022-01-16;0;0;1;25;1;False
2022-01-23;0;0;1;24;1;False
2022-01-30;0;0;1;27;1;False
2022-02-06;0;0;1;25;1;False
2022-02-13;0;0;1;21;1;False
2022-02-20;0;0;1;24;1;False
2022-02-27;0;0;1;23;1;False
2022-03-06;0;0;1;22;1;False
2022-03-13;0;0;1;25;1;False
2022-03-20;0;0;1;25;1;False
2022-03-27;0;0;1;23;1;False
2022-04-03;0;0;1;25;1;False
2022-04-10;0;0;9;27;0;False
2022-04-17;0;0;28;24;1;False
2022-04-24;0;0;39;24;1;False
2022-05-01;0;0;36;23;1;False
2022-05-08;0;0;18;27;1;False
2022-05-15;0;0;30;26;1;False
2022-05-22;0;0;52;24;1;False
2022-05-29;0;0;100;24;1;False
2022-06-05;0;0;13;29;1;False
2022-06-12;0;0;7;27;1;False
2022-06-19;0;0;4;24;1;False
2022-06-26;0;0;5;25;1;False
2022-07-03;0;0;2;26;1;False
2022-07-10;0;0;2;26;1;False
2022-07-17;0;0;2;27;1;False
2022-07-24;0;0;2;25;1;False
2022-07-31;0;0;2;24;1;False
2022-08-07;0;0;3;28;1;False
2022-08-14;0;0;2;24;1;False
2022-08-21;0;0;2;34;0;False
2022-08-28;0;0;2;35;0;False
2022-09-04;0;0;1;36;1;False
2022-09-11;0;0;1;31;0;False
2022-09-18;0;0;2;25;0;False
2022-09-25;0;0;1;33;0;False
2022-10-02;0;0;1;37;0;False
2022-10-09;0;0;2;36;0;False
2022-10-16;0;0;1;34;0;False
2022-10-23;0;0;2;36;0;False
2022-10-30;0;0;1;32;0;False
2022-11-06;0;0;2;35;0;False
2022-11-13;0;0;1;37;0;False
2022-11-20;0;0;1;33;0;False
2022-11-27;0;0;1;60;0;False
2022-12-04;0;0;1;69;0;False
2022-12-11;0;0;1;74;0;False
2022-12-18;0;0;2;60;0;False
2022-12-25;0;0;2;33;0;False
2023-01-01;0;0;1;30;1;False
2023-01-08;0;0;1;26;0;False
2023-01-15;0;0;1;29;0;False
2023-01-22;0;0;1;27;0;False
2023-01-29;0;0;1;28;0;False
