date;Matt Kean;Thinktanks;Michael Fassbender;Triple J;air travel;isPartial
2022-01-02;0;2;17;2;87;False
2022-01-09;0;0;22;6;100;False
2022-01-16;0;0;20;10;74;False
2022-01-23;1;0;23;10;82;False
2022-01-30;3;0;19;0;93;False
2022-02-06;0;0;20;3;93;False
2022-02-13;0;0;26;2;94;False
2022-02-20;0;2;18;2;95;False
2022-02-27;1;0;18;1;83;False
2022-03-06;1;2;23;1;88;False
2022-03-13;0;0;25;2;87;False
2022-03-20;1;3;21;2;85;False
2022-03-27;0;0;24;3;90;False
2022-04-03;1;0;26;1;84;False
2022-04-10;0;0;24;2;71;False
2022-04-17;1;0;22;3;78;False
2022-04-24;1;0;19;3;82;False
2022-05-01;0;0;19;1;84;False
2022-05-08;0;0;15;2;87;False
2022-05-15;0;0;19;2;90;False
2022-05-22;0;0;14;2;85;False
2022-05-29;0;0;17;3;87;False
2022-06-05;0;2;37;2;97;False
2022-06-12;1;0;22;5;87;False
2022-06-19;0;1;14;2;79;False
2022-06-26;0;0;20;3;85;False
2022-07-03;1;0;15;2;89;False
2022-07-10;0;2;14;2;92;False
2022-07-17;2;0;13;2;88;False
2022-07-24;0;0;23;3;87;False
2022-07-31;0;0;15;4;78;False
2022-08-07;1;0;16;2;76;False
2022-08-14;0;0;13;3;75;False
2022-08-21;0;1;14;2;65;False
2022-08-28;0;0;18;3;72;False
2022-09-04;0;0;13;0;77;False
2022-09-11;1;0;16;5;67;False
2022-09-18;0;2;15;4;66;False
2022-09-25;0;0;19;2;66;False
2022-10-02;0;1;20;5;63;False
2022-10-09;0;0;18;5;62;False
2022-10-16;0;1;14;2;55;False
2022-10-23;1;0;13;2;52;False
2022-10-30;1;0;13;2;51;False
2022-11-06;0;0;16;1;58;False
2022-11-13;0;0;15;2;48;False
2022-11-20;0;0;11;2;60;False
2022-11-27;0;0;12;1;59;False
2022-12-04;1;0;16;2;50;False
2022-12-11;0;0;16;4;52;False
2022-12-18;0;0;19;3;48;False
2022-12-25;0;0;17;3;64;False
2023-01-01;0;0;17;3;74;False
2023-01-08;0;0;14;3;69;False
2023-01-15;0;0;15;4;67;False
2023-01-22;0;0;16;17;62;False
2023-01-29;0;0;10;5;67;False
