date;Andrew Garfield;Whales;Kyriakos Mitsotakis;Chinese food and drink;air travel;isPartial
2022-01-02;100;14;0;0;13;False
2022-01-09;75;16;0;0;15;False
2022-01-16;49;12;0;0;11;False
2022-01-23;41;13;0;0;13;False
2022-01-30;32;14;0;0;15;False
2022-02-06;35;13;0;0;14;False
2022-02-13;55;13;1;0;15;False
2022-02-20;39;13;0;0;15;False
2022-02-27;25;13;0;0;13;False
2022-03-06;19;13;0;0;14;False
2022-03-13;28;14;0;0;13;False
2022-03-20;23;16;0;0;13;False
2022-03-27;34;12;0;0;14;False
2022-04-03;24;11;0;0;13;False
2022-04-10;20;12;0;0;11;False
2022-04-17;14;14;0;0;12;False
2022-04-24;13;11;0;0;13;False
2022-05-01;13;12;0;0;13;False
2022-05-08;9;12;0;0;13;False
2022-05-15;10;13;0;0;14;False
2022-05-22;7;12;0;0;13;False
2022-05-29;8;13;0;0;13;False
2022-06-05;11;13;0;0;15;False
2022-06-12;10;14;0;0;13;False
2022-06-19;8;13;0;0;12;False
2022-06-26;10;12;0;0;13;False
2022-07-03;9;13;0;0;14;False
2022-07-10;10;14;0;0;14;False
2022-07-17;10;15;0;0;14;False
2022-07-24;13;15;0;0;13;False
2022-07-31;12;13;0;0;12;False
2022-08-07;9;16;0;0;12;False
2022-08-14;11;14;0;0;12;False
2022-08-21;10;12;0;0;10;False
2022-08-28;9;12;0;0;11;False
2022-09-04;6;12;0;0;12;False
2022-09-11;7;15;0;0;10;False
2022-09-18;7;24;0;0;10;False
2022-09-25;7;14;0;0;10;False
2022-10-02;6;17;0;0;10;False
2022-10-09;6;15;0;0;10;False
2022-10-16;6;12;0;0;9;False
2022-10-23;6;13;0;0;8;False
2022-10-30;7;11;0;0;8;False
2022-11-06;8;12;0;0;9;False
2022-11-13;14;12;0;0;7;False
2022-11-20;9;14;0;0;9;False
2022-11-27;7;14;0;0;9;False
2022-12-04;7;11;0;0;8;False
2022-12-11;6;10;0;0;8;False
2022-12-18;8;10;0;0;7;False
2022-12-25;8;12;0;0;10;False
2023-01-01;6;12;0;0;11;False
2023-01-08;22;13;0;0;11;False
2023-01-15;15;14;0;0;10;False
2023-01-22;9;13;0;0;10;False
2023-01-29;7;14;0;0;10;False
