date;Wasps;The Beatles;Foreign currency;Post-traumatic stress disorder;air travel;isPartial
2022-01-02;24;47;6;0;21;False
2022-01-09;54;38;6;0;24;False
2022-01-16;21;40;6;0;18;False
2022-01-23;29;40;7;0;19;False
2022-01-30;35;39;8;0;22;False
2022-02-06;27;38;7;0;22;False
2022-02-13;24;39;7;0;22;False
2022-02-20;24;36;8;0;22;False
2022-02-27;19;29;10;0;20;False
2022-03-06;18;32;10;0;21;False
2022-03-13;29;31;9;0;21;False
2022-03-20;31;29;10;0;20;False
2022-03-27;28;31;10;1;21;False
2022-04-03;19;33;10;0;20;False
2022-04-10;34;32;10;0;17;False
2022-04-17;40;34;11;0;19;False
2022-04-24;28;30;11;0;19;False
2022-05-01;42;31;11;0;20;False
2022-05-08;39;30;12;0;20;False
2022-05-15;42;33;12;0;21;False
2022-05-22;27;33;13;0;20;False
2022-05-29;30;32;11;0;21;False
2022-06-05;25;33;13;0;23;False
2022-06-12;35;37;11;0;21;False
2022-06-19;31;64;10;0;19;False
2022-06-26;30;60;12;0;20;False
2022-07-03;39;34;11;0;21;False
2022-07-10;54;35;13;0;22;False
2022-07-17;57;33;10;0;21;False
2022-07-24;67;31;11;0;21;False
2022-07-31;73;30;11;0;18;False
2022-08-07;100;32;11;0;18;False
2022-08-14;57;28;10;0;18;False
2022-08-21;57;30;11;0;15;False
2022-08-28;51;29;11;0;17;False
2022-09-04;37;33;13;0;18;False
2022-09-11;54;29;11;0;16;False
2022-09-18;69;26;12;0;16;False
2022-09-25;45;28;13;0;16;False
2022-10-02;36;31;11;0;15;False
2022-10-09;91;30;9;0;15;False
2022-10-16;89;28;9;0;13;False
2022-10-23;42;33;9;0;12;False
2022-10-30;34;32;8;0;12;False
2022-11-06;24;33;8;0;14;False
2022-11-13;18;30;6;0;11;False
2022-11-20;16;23;7;0;14;False
2022-11-27;15;27;7;0;14;False
2022-12-04;15;25;7;0;12;False
2022-12-11;20;27;7;0;12;False
2022-12-18;16;27;5;1;11;False
2022-12-25;13;40;5;0;15;False
2023-01-01;12;37;8;0;18;False
2023-01-08;12;32;9;0;16;False
2023-01-15;11;29;9;0;16;False
2023-01-22;12;30;8;0;15;False
2023-01-29;12;30;9;0;16;False
