date;just stop oil;qatar;Cheese;County lines;air travel;isPartial
2023-01-01;0;21;94;0;3;False
2023-01-02;0;21;100;1;3;False
2023-01-03;0;22;81;1;2;False
2023-01-04;0;22;82;1;3;False
2023-01-05;0;20;82;0;2;False
2023-01-06;0;19;80;1;2;False
2023-01-07;0;19;89;0;2;False
2023-01-08;0;21;96;0;3;False
2023-01-09;1;23;77;1;2;False
2023-01-10;1;24;76;1;3;False
2023-01-11;1;21;75;0;3;False
2023-01-12;1;19;78;2;2;False
2023-01-13;0;21;74;1;2;False
2023-01-14;0;20;86;0;2;False
2023-01-15;0;21;93;1;2;False
2023-01-16;1;27;76;1;2;False
2023-01-17;0;23;75;2;2;False
2023-01-18;1;20;76;1;3;False
2023-01-19;0;21;74;1;2;False
2023-01-20;0;20;80;1;2;False
2023-01-21;1;18;93;1;2;False
2023-01-22;1;21;92;1;2;False
2023-01-23;0;22;80;1;2;False
2023-01-24;0;18;75;1;2;False
2023-01-25;0;21;76;1;2;False
2023-01-26;0;19;75;1;2;False
2023-01-27;0;18;70;2;2;False
2023-01-28;1;18;81;1;2;False
2023-01-29;0;19;88;1;2;False
2023-01-30;0;20;82;1;3;False
2023-01-31;0;19;79;2;3;False
