date;Volunteering holidays;Jack Ma;stormzy;podcasts;air travel;isPartial
2023-01-01;0;0;59;77;26;False
2023-01-02;0;3;37;90;31;False
2023-01-03;0;5;30;86;20;False
2023-01-04;0;0;32;84;31;False
2023-01-05;0;2;36;89;25;False
2023-01-06;0;2;34;70;25;False
2023-01-07;2;5;43;68;18;False
2023-01-08;0;20;45;77;29;False
2023-01-09;2;3;41;93;17;False
2023-01-10;0;7;33;95;27;False
2023-01-11;0;0;38;76;31;False
2023-01-12;0;8;43;86;26;False
2023-01-13;0;0;38;62;21;False
2023-01-14;0;2;38;57;19;False
2023-01-15;0;6;35;64;23;False
2023-01-16;0;0;92;92;24;False
2023-01-17;0;0;100;81;19;False
2023-01-18;0;2;71;85;28;False
2023-01-19;0;0;58;89;25;False
2023-01-20;0;3;49;82;20;False
2023-01-21;0;4;42;58;22;False
2023-01-22;0;0;46;81;24;False
2023-01-23;0;2;34;86;25;False
2023-01-24;2;8;40;94;19;False
2023-01-25;3;0;24;66;26;False
2023-01-26;0;3;28;71;23;False
2023-01-27;0;3;30;64;16;False
2023-01-28;0;8;33;49;23;False
2023-01-29;0;0;33;60;21;False
2023-01-30;0;2;26;84;35;False
2023-01-31;2;0;24;71;29;False
