date;Virgin Group;Lebanon;Anxiety;Neighbours;air travel;isPartial
2023-01-01;1;5;76;19;6;False
2023-01-02;0;7;77;18;7;False
2023-01-03;0;7;92;19;4;False
2023-01-04;0;8;90;14;6;False
2023-01-05;0;7;88;20;5;False
2023-01-06;1;5;79;27;5;False
2023-01-07;1;5;73;17;4;False
2023-01-08;1;6;94;19;6;False
2023-01-09;0;6;98;19;4;False
2023-01-10;1;7;100;17;6;False
2023-01-11;1;6;90;14;7;False
2023-01-12;1;6;93;18;5;False
2023-01-13;1;14;88;26;4;False
2023-01-14;0;8;70;20;4;False
2023-01-15;1;9;82;19;5;False
2023-01-16;1;7;99;15;5;False
2023-01-17;2;6;81;17;4;False
2023-01-18;1;7;90;16;6;False
2023-01-19;0;5;78;17;5;False
2023-01-20;0;7;73;15;4;False
2023-01-21;0;5;77;20;5;False
2023-01-22;0;8;77;17;5;False
2023-01-23;1;6;89;14;5;False
2023-01-24;0;6;81;13;4;False
2023-01-25;0;7;80;16;6;False
2023-01-26;1;6;77;16;5;False
2023-01-27;1;8;74;13;3;False
2023-01-28;0;6;67;19;5;False
2023-01-29;0;8;83;19;4;False
2023-01-30;2;6;80;15;7;False
2023-01-31;0;7;84;16;6;False
