date;energy price cap;Simon Bird;Goldman Sachs;music;air travel;isPartial
2022-01-02;1;0;1;86;1;False
2022-01-09;1;0;1;94;1;False
2022-01-16;1;0;2;81;1;False
2022-01-23;1;0;1;86;1;False
2022-01-30;4;0;1;99;1;False
2022-02-06;1;0;1;92;1;False
2022-02-13;1;0;1;84;1;False
2022-02-20;1;0;1;86;1;False
2022-02-27;1;0;1;86;1;False
2022-03-06;1;0;1;90;1;False
2022-03-13;1;0;1;90;1;False
2022-03-20;1;0;1;93;1;False
2022-03-27;2;0;1;92;1;False
2022-04-03;1;0;1;87;1;False
2022-04-10;0;0;1;89;1;False
2022-04-17;0;0;1;82;1;False
2022-04-24;0;0;1;89;1;False
2022-05-01;0;0;1;96;1;False
2022-05-08;0;0;1;90;1;False
2022-05-15;1;0;1;91;1;False
2022-05-22;3;0;1;87;1;False
2022-05-29;0;0;1;87;1;False
2022-06-05;0;0;1;90;1;False
2022-06-12;0;0;1;91;1;False
2022-06-19;0;0;1;94;1;False
2022-06-26;0;0;1;95;1;False
2022-07-03;0;0;1;90;1;False
2022-07-10;1;0;1;83;1;False
2022-07-17;0;0;1;86;1;False
2022-07-24;1;0;1;85;1;False
2022-07-31;1;0;1;78;1;False
2022-08-07;3;0;1;78;1;False
2022-08-14;2;0;1;73;1;False
2022-08-21;7;0;1;83;1;False
2022-08-28;3;0;1;80;1;False
2022-09-04;7;0;1;88;1;False
2022-09-11;3;0;1;84;1;False
2022-09-18;3;0;1;94;1;False
2022-09-25;3;0;1;90;1;False
2022-10-02;2;0;1;88;1;False
2022-10-09;1;0;2;100;1;False
2022-10-16;2;0;2;85;1;False
2022-10-23;1;0;2;85;1;False
2022-10-30;1;0;1;88;1;False
2022-11-06;0;0;2;95;1;False
2022-11-13;1;0;1;91;1;False
2022-11-20;1;0;1;83;1;False
2022-11-27;1;0;1;97;1;False
2022-12-04;1;0;1;90;1;False
2022-12-11;1;0;1;85;1;False
2022-12-18;0;0;1;85;1;False
2022-12-25;0;0;1;85;1;False
2023-01-01;1;1;1;89;1;False
2023-01-08;0;0;2;86;1;False
2023-01-15;0;0;2;92;1;False
2023-01-22;0;1;1;92;1;False
2023-01-29;0;0;1;91;1;False
