date;Interiors;Employment;Oil;Sam Taylor-Johnson;air travel;isPartial
2022-01-02;4;6;74;0;1;False
2022-01-09;4;6;65;0;1;False
2022-01-16;4;6;66;0;1;False
2022-01-23;4;7;69;0;1;False
2022-01-30;4;6;75;0;1;False
2022-02-06;4;6;68;0;1;False
2022-02-13;3;5;65;0;1;False
2022-02-20;3;6;80;0;1;False
2022-02-27;3;6;85;0;1;False
2022-03-06;3;6;100;0;1;False
2022-03-13;3;7;97;0;1;False
2022-03-20;3;8;79;0;1;False
2022-03-27;3;7;78;0;1;False
2022-04-03;3;6;82;0;1;False
2022-04-10;3;5;75;0;1;False
2022-04-17;3;5;70;0;1;False
2022-04-24;3;6;73;0;1;False
2022-05-01;3;6;73;0;1;False
2022-05-08;3;6;73;0;1;False
2022-05-15;3;6;70;0;1;False
2022-05-22;3;6;68;0;1;False
2022-05-29;3;4;72;0;1;False
2022-06-05;3;6;72;0;1;False
2022-06-12;3;6;73;0;1;False
2022-06-19;3;5;68;0;1;False
2022-06-26;3;5;70;0;1;False
2022-07-03;3;5;72;0;1;False
2022-07-10;3;5;67;0;1;False
2022-07-17;3;5;67;0;1;False
2022-07-24;3;5;73;0;1;False
2022-07-31;3;5;74;0;1;False
2022-08-07;3;5;72;0;1;False
2022-08-14;3;5;65;0;1;False
2022-08-21;3;5;72;0;1;False
2022-08-28;3;5;72;0;1;False
2022-09-04;3;5;71;0;1;False
2022-09-11;3;5;73;0;1;False
2022-09-18;3;5;76;0;1;False
2022-09-25;3;5;73;0;1;False
2022-10-02;3;5;73;0;1;False
2022-10-09;3;6;73;0;1;False
2022-10-16;3;5;73;0;1;False
2022-10-23;3;5;69;0;1;False
2022-10-30;3;5;70;0;1;False
2022-11-06;4;5;78;0;1;False
2022-11-13;3;5;73;0;1;False
2022-11-20;3;5;68;0;1;False
2022-11-27;3;5;70;0;1;False
2022-12-04;3;5;77;0;1;False
2022-12-11;3;5;77;0;1;False
2022-12-18;2;4;69;0;1;False
2022-12-25;2;3;67;0;1;False
2023-01-01;3;5;72;0;1;False
2023-01-08;3;6;71;0;1;False
2023-01-15;3;6;75;0;1;False
2023-01-22;3;6;80;0;1;False
2023-01-29;4;6;75;0;1;False
