date;Walter Mosley;Crime films;jill biden;Superhero movies;air travel;isPartial
2022-01-02;0;11;2;8;87;False
2022-01-09;0;5;0;7;100;False
2022-01-16;0;6;2;6;74;False
2022-01-23;0;7;2;10;82;False
2022-01-30;4;7;4;3;93;False
2022-02-06;0;8;1;4;93;False
2022-02-13;1;6;1;8;94;False
2022-02-20;0;7;1;7;95;False
2022-02-27;1;6;7;7;83;False
2022-03-06;0;6;3;8;88;False
2022-03-13;1;7;2;7;87;False
2022-03-20;1;6;3;9;85;False
2022-03-27;1;7;3;7;90;False
2022-04-03;1;8;3;9;82;False
2022-04-10;0;10;3;6;71;False
2022-04-17;1;5;3;6;79;False
2022-04-24;0;11;2;8;82;False
2022-05-01;1;9;7;6;84;False
2022-05-08;0;5;19;4;87;False
2022-05-15;2;4;4;4;90;False
2022-05-22;2;5;1;6;85;False
2022-05-29;0;5;9;9;87;False
2022-06-05;2;3;2;8;97;False
2022-06-12;0;3;5;4;85;False
2022-06-19;1;7;2;3;79;False
2022-06-26;0;4;3;7;85;False
2022-07-03;0;5;4;6;89;False
2022-07-10;0;5;28;5;92;False
2022-07-17;0;4;8;3;88;False
2022-07-24;0;10;2;10;87;False
2022-07-31;0;6;4;7;78;False
2022-08-07;0;8;21;5;76;False
2022-08-14;0;8;5;4;75;False
2022-08-21;0;7;4;8;65;False
2022-08-28;0;7;2;8;72;False
2022-09-04;0;9;7;4;77;False
2022-09-11;0;7;10;8;67;False
2022-09-18;0;7;80;5;66;False
2022-09-25;0;9;3;6;66;False
2022-10-02;0;10;2;6;63;False
2022-10-09;1;7;0;5;62;False
2022-10-16;1;10;2;4;55;False
2022-10-23;0;5;1;4;52;False
2022-10-30;1;10;2;6;51;False
2022-11-06;0;10;7;7;58;False
2022-11-13;2;8;3;8;48;False
2022-11-20;0;4;5;5;60;False
2022-11-27;0;3;8;6;59;False
2022-12-04;2;4;3;5;50;False
2022-12-11;0;8;3;4;52;False
2022-12-18;0;7;3;5;48;False
2022-12-25;0;13;3;10;64;False
2023-01-01;0;9;2;4;74;False
2023-01-08;0;6;4;5;69;False
2023-01-15;2;11;1;4;67;False
2023-01-22;1;8;2;3;62;False
2023-01-29;0;6;8;5;67;False
