date;Family finances;Thai food and drink;bafta;Paris;air travel;isPartial
2022-01-02;0;0;1;69;2;False
2022-01-09;0;0;1;60;2;False
2022-01-16;0;0;1;57;2;False
2022-01-23;0;0;1;61;2;False
2022-01-30;0;0;4;65;2;False
2022-02-06;0;0;2;65;2;False
2022-02-13;0;0;1;67;2;False
2022-02-20;0;0;1;64;2;False
2022-02-27;0;0;1;62;2;False
2022-03-06;0;0;2;69;2;False
2022-03-13;0;0;21;73;2;False
2022-03-20;0;0;3;69;2;False
2022-03-27;0;0;4;67;2;False
2022-04-03;0;0;2;70;2;False
2022-04-10;0;0;1;70;2;False
2022-04-17;0;0;1;72;2;False
2022-04-24;0;0;1;74;2;False
2022-05-01;0;0;2;84;2;False
2022-05-08;0;0;21;65;2;False
2022-05-15;0;0;1;75;2;False
2022-05-22;0;0;1;90;2;False
2022-05-29;0;0;1;92;2;False
2022-06-05;0;0;1;69;2;False
2022-06-12;0;0;1;69;2;False
2022-06-19;0;0;1;63;2;False
2022-06-26;0;0;1;64;2;False
2022-07-03;0;0;1;66;2;False
2022-07-10;0;0;1;73;2;False
2022-07-17;0;0;0;72;2;False
2022-07-24;0;0;0;68;2;False
2022-07-31;0;0;0;69;2;False
2022-08-07;0;0;0;67;2;False
2022-08-14;0;0;0;63;2;False
2022-08-21;0;0;0;70;2;False
2022-08-28;0;0;0;76;2;False
2022-09-04;0;0;1;68;2;False
2022-09-11;0;0;1;74;2;False
2022-09-18;0;0;1;70;2;False
2022-09-25;0;0;1;72;2;False
2022-10-02;0;0;1;79;2;False
2022-10-09;0;0;1;71;1;False
2022-10-16;0;0;1;71;1;False
2022-10-23;0;0;1;69;1;False
2022-10-30;0;0;1;77;1;False
2022-11-06;0;0;1;75;1;False
2022-11-13;0;0;1;67;1;False
2022-11-20;0;0;1;58;1;False
2022-11-27;0;0;1;62;1;False
2022-12-04;0;0;1;55;1;False
2022-12-11;0;0;1;58;1;False
2022-12-18;0;0;1;87;1;False
2022-12-25;0;0;1;100;2;False
2023-01-01;0;0;1;98;2;False
2023-01-08;0;0;1;91;2;False
2023-01-15;0;0;4;88;2;False
2023-01-22;0;0;3;86;1;False
2023-01-29;0;0;2;79;2;False
