date;Personal loans;Stephen Hough;Stephen Frears;David Lynch;air travel;isPartial
2022-01-02;46;1;2;20;90;False
2022-01-09;46;0;2;23;98;False
2022-01-16;38;2;0;36;77;False
2022-01-23;47;1;1;17;84;False
2022-01-30;45;0;0;24;95;False
2022-02-06;43;1;0;18;96;False
2022-02-13;42;1;1;21;96;False
2022-02-20;36;1;1;19;98;False
2022-02-27;39;2;0;15;86;False
2022-03-06;41;1;2;16;90;False
2022-03-13;37;1;1;19;90;False
2022-03-20;43;1;0;17;88;False
2022-03-27;39;4;1;17;93;False
2022-04-03;43;1;0;20;85;False
2022-04-10;39;3;0;37;74;False
2022-04-17;41;1;0;22;82;False
2022-04-24;49;1;2;17;84;False
2022-05-01;38;2;1;22;87;False
2022-05-08;45;1;0;16;89;False
2022-05-15;41;0;0;17;93;False
2022-05-22;39;1;2;21;88;False
2022-05-29;43;1;1;21;90;False
2022-06-05;42;3;4;46;100;False
2022-06-12;46;0;0;15;87;False
2022-06-19;39;1;1;20;81;False
2022-06-26;40;2;0;16;87;False
2022-07-03;44;0;0;13;92;False
2022-07-10;39;0;2;16;95;False
2022-07-17;38;1;0;17;91;False
2022-07-24;47;3;2;15;90;False
2022-07-31;37;1;1;16;81;False
2022-08-07;47;1;0;22;78;False
2022-08-14;46;0;0;13;77;False
2022-08-21;48;3;2;16;67;False
2022-08-28;43;0;2;15;74;False
2022-09-04;37;1;0;19;80;False
2022-09-11;47;0;2;20;69;False
2022-09-18;38;0;1;23;66;False
2022-09-25;46;2;0;22;68;False
2022-10-02;41;4;0;19;65;False
2022-10-09;38;2;0;22;63;False
2022-10-16;41;0;2;20;57;False
2022-10-23;36;1;1;22;53;False
2022-10-30;37;2;1;15;53;False
2022-11-06;39;0;1;19;59;False
2022-11-13;37;0;2;16;50;False
2022-11-20;30;0;1;17;62;False
2022-11-27;33;1;1;18;61;False
2022-12-04;35;0;1;21;52;False
2022-12-11;29;1;0;24;53;False
2022-12-18;31;2;4;24;50;False
2022-12-25;28;1;0;22;66;False
2023-01-01;47;5;1;21;77;False
2023-01-08;45;4;0;20;71;False
2023-01-15;44;7;0;30;69;False
2023-01-22;43;5;0;29;64;False
2023-01-29;47;6;1;29;69;False
