date;Activision Blizzard;Succession;David Bowie;Anna Politkovskaya;air travel;isPartial
2022-01-02;1;100;0;0;17;False
2022-01-09;1;94;0;0;19;False
2022-01-16;44;68;0;0;15;False
2022-01-23;5;62;0;0;16;False
2022-01-30;3;56;0;0;18;False
2022-02-06;2;47;0;0;19;False
2022-02-13;2;39;0;0;19;False
2022-02-20;1;34;0;0;19;False
2022-02-27;1;32;0;1;17;False
2022-03-06;1;29;0;0;18;False
2022-03-13;1;26;0;0;17;False
2022-03-20;1;25;0;1;17;False
2022-03-27;1;25;0;0;18;False
2022-04-03;1;25;0;0;16;False
2022-04-10;1;26;0;0;14;False
2022-04-17;1;22;0;0;16;False
2022-04-24;1;22;0;0;16;False
2022-05-01;3;25;0;0;17;False
2022-05-08;1;29;0;0;17;False
2022-05-15;1;30;0;1;18;False
2022-05-22;1;24;0;0;17;False
2022-05-29;1;31;0;0;17;False
2022-06-05;1;28;0;0;19;False
2022-06-12;1;22;0;0;17;False
2022-06-19;1;22;0;0;16;False
2022-06-26;1;20;0;0;17;False
2022-07-03;1;21;0;0;18;False
2022-07-10;1;30;0;0;18;False
2022-07-17;0;22;0;0;18;False
2022-07-24;1;21;0;0;17;False
2022-07-31;1;18;0;0;16;False
2022-08-07;1;20;0;0;15;False
2022-08-14;1;22;0;0;15;False
2022-08-21;1;24;0;0;13;False
2022-08-28;1;23;0;0;14;False
2022-09-04;1;61;0;0;15;False
2022-09-11;1;76;0;1;13;False
2022-09-18;1;58;0;0;13;False
2022-09-25;1;30;0;0;13;False
2022-10-02;2;28;0;1;13;False
2022-10-09;1;26;0;0;12;False
2022-10-16;2;27;0;0;11;False
2022-10-23;1;28;0;0;10;False
2022-10-30;1;25;0;0;10;False
2022-11-06;2;44;0;0;11;False
2022-11-13;2;32;0;0;10;False
2022-11-20;1;23;0;0;12;False
2022-11-27;1;25;0;0;12;False
2022-12-04;2;21;0;0;10;False
2022-12-11;1;21;0;0;10;False
2022-12-18;1;23;0;0;10;False
2022-12-25;1;24;0;0;13;False
2023-01-01;1;35;0;0;15;False
2023-01-08;1;29;0;0;14;False
2023-01-15;1;28;0;0;13;False
2023-01-22;1;36;0;0;12;False
2023-01-29;1;33;0;0;13;False
