date;Low emission zones;Maria Miller;British food and drink;Personal finance;air travel;isPartial
2022-01-02;1;0;0;38;87;False
2022-01-09;3;2;0;39;100;False
2022-01-16;2;3;0;34;74;False
2022-01-23;6;2;2;31;82;False
2022-01-30;2;3;2;35;93;False
2022-02-06;3;2;1;36;93;False
2022-02-13;3;0;0;50;94;False
2022-02-20;9;1;0;75;95;False
2022-02-27;7;0;0;78;83;False
2022-03-06;9;2;4;64;88;False
2022-03-13;2;3;1;60;87;False
2022-03-20;2;1;0;57;85;False
2022-03-27;3;1;0;58;90;False
2022-04-03;3;0;0;54;82;False
2022-04-10;2;2;0;44;71;False
2022-04-17;2;0;1;46;79;False
2022-04-24;2;1;1;51;82;False
2022-05-01;0;1;1;54;84;False
2022-05-08;1;1;2;54;87;False
2022-05-15;1;2;2;63;90;False
2022-05-22;1;2;0;49;85;False
2022-05-29;4;3;0;44;87;False
2022-06-05;4;1;0;49;97;False
2022-06-12;5;1;0;54;85;False
2022-06-19;2;2;0;49;79;False
2022-06-26;4;0;0;50;85;False
2022-07-03;3;3;2;48;89;False
2022-07-10;4;4;1;51;92;False
2022-07-17;2;3;0;49;88;False
2022-07-24;4;3;0;45;87;False
2022-07-31;2;0;0;46;78;False
2022-08-07;4;2;1;49;76;False
2022-08-14;4;1;1;48;75;False
2022-08-21;1;3;0;51;65;False
2022-08-28;0;1;0;53;72;False
2022-09-04;0;2;0;57;77;False
2022-09-11;4;1;2;50;67;False
2022-09-18;3;1;1;50;66;False
2022-09-25;2;0;0;57;66;False
2022-10-02;2;3;2;53;63;False
2022-10-09;1;0;1;47;62;False
2022-10-16;2;7;0;48;55;False
2022-10-23;1;0;0;46;52;False
2022-10-30;3;1;2;49;51;False
2022-11-06;1;2;0;52;58;False
2022-11-13;1;0;0;50;48;False
2022-11-20;2;0;1;46;60;False
2022-11-27;2;2;2;53;59;False
2022-12-04;0;1;0;49;50;False
2022-12-11;2;2;1;49;52;False
2022-12-18;2;0;0;37;48;False
2022-12-25;2;0;1;39;64;False
2023-01-01;0;0;1;55;74;False
2023-01-08;4;3;0;56;69;False
2023-01-15;3;3;1;63;67;False
2023-01-22;3;1;0;57;62;False
2023-01-29;5;1;0;56;67;False
