date;US voting rights;Royal Ballet;Rape and sexual assault;Sevilla;air travel;isPartial
2023-01-01;0;14;0;13;27;False
2023-01-02;0;10;0;21;32;False
2023-01-03;0;12;3;29;21;False
2023-01-04;2;10;2;42;31;False
2023-01-05;0;12;0;27;26;False
2023-01-06;0;13;0;29;26;False
2023-01-07;0;12;2;38;19;False
2023-01-08;0;18;2;77;30;False
2023-01-09;0;7;0;30;18;False
2023-01-10;0;14;4;26;28;False
2023-01-11;0;12;0;27;32;False
2023-01-12;0;10;4;19;26;False
2023-01-13;0;9;0;32;21;False
2023-01-14;0;10;0;43;20;False
2023-01-15;0;18;0;36;23;False
2023-01-16;0;14;0;25;24;False
2023-01-17;0;15;2;57;20;False
2023-01-18;0;15;0;34;28;False
2023-01-19;0;16;2;23;26;False
2023-01-20;0;19;0;33;21;False
2023-01-21;0;14;0;86;22;False
2023-01-22;0;17;0;33;25;False
2023-01-23;0;13;0;25;25;False
2023-01-24;0;8;0;22;19;False
2023-01-25;2;8;0;100;27;False
2023-01-26;0;9;2;47;24;False
2023-01-27;0;11;0;27;17;False
2023-01-28;0;10;0;65;23;False
2023-01-29;0;30;0;36;21;False
2023-01-30;0;15;0;31;35;False
2023-01-31;3;11;0;29;30;False
