date;Care workers;Cricket;lewis capaldi;Australian Capital Territory (ACT);air travel;isPartial
2023-01-01;0;27;10;0;1;False
2023-01-02;0;36;4;0;2;False
2023-01-03;1;48;3;0;1;False
2023-01-04;0;40;4;0;2;False
2023-01-05;1;51;5;0;1;False
2023-01-06;0;48;11;0;1;False
2023-01-07;0;42;10;0;1;False
2023-01-08;0;32;11;0;1;False
2023-01-09;1;41;6;0;1;False
2023-01-10;1;48;6;0;1;False
2023-01-11;1;42;5;0;2;False
2023-01-12;1;44;6;0;1;False
2023-01-13;1;46;9;0;1;False
2023-01-14;0;33;10;0;1;False
2023-01-15;0;46;9;0;1;False
2023-01-16;1;30;9;0;1;False
2023-01-17;0;29;8;0;1;False
2023-01-18;1;48;9;0;1;False
2023-01-19;1;29;15;0;1;False
2023-01-20;1;30;14;0;1;False
2023-01-21;0;43;11;0;1;False
2023-01-22;0;31;11;0;1;False
2023-01-23;1;31;10;0;1;False
2023-01-24;1;46;10;0;1;False
2023-01-25;0;27;7;0;1;False
2023-01-26;1;28;9;0;1;False
2023-01-27;1;78;8;0;1;False
2023-01-28;0;34;6;0;1;False
2023-01-29;0;100;7;0;1;False
2023-01-30;1;30;6;0;2;False
2023-01-31;1;31;5;0;1;False
