date;Xinjiang;Lloyds Banking Group;Horse racing;Health policy;air travel;isPartial
2022-01-02;0;1;48;1;3;False
2022-01-09;0;1;45;2;4;False
2022-01-16;0;1;44;2;3;False
2022-01-23;0;1;50;2;3;False
2022-01-30;0;1;53;2;3;False
2022-02-06;0;1;49;2;3;False
2022-02-13;0;1;48;2;3;False
2022-02-20;0;2;50;2;4;False
2022-02-27;0;1;49;2;3;False
2022-03-06;0;1;53;2;3;False
2022-03-13;0;1;100;2;3;False
2022-03-20;0;3;51;2;3;False
2022-03-27;0;1;55;2;3;False
2022-04-03;0;1;75;2;3;False
2022-04-10;0;1;59;1;3;False
2022-04-17;0;1;58;2;3;False
2022-04-24;0;1;52;1;3;False
2022-05-01;0;1;60;1;3;False
2022-05-08;0;1;56;2;3;False
2022-05-15;0;1;56;2;3;False
2022-05-22;1;1;57;1;3;False
2022-05-29;0;1;65;1;3;False
2022-06-05;0;1;59;1;4;False
2022-06-12;0;1;82;1;3;False
2022-06-19;0;1;58;1;3;False
2022-06-26;0;1;59;1;3;False
2022-07-03;0;1;65;1;3;False
2022-07-10;0;1;61;1;3;False
2022-07-17;0;1;60;1;3;False
2022-07-24;0;2;68;1;3;False
2022-07-31;0;1;56;1;3;False
2022-08-07;0;1;59;1;3;False
2022-08-14;0;1;59;1;3;False
2022-08-21;0;1;52;1;2;False
2022-08-28;0;1;58;1;3;False
2022-09-04;0;1;57;1;3;False
2022-09-11;0;1;63;2;2;False
2022-09-18;0;1;55;1;2;False
2022-09-25;0;1;52;1;2;False
2022-10-02;0;1;58;1;2;False
2022-10-09;0;1;54;2;2;False
2022-10-16;0;1;56;2;2;False
2022-10-23;0;1;55;1;2;False
2022-10-30;0;1;56;2;2;False
2022-11-06;0;1;53;2;2;False
2022-11-13;0;1;51;2;2;False
2022-11-20;1;1;40;2;2;False
2022-11-27;0;1;46;1;2;False
2022-12-04;0;1;51;2;2;False
2022-12-11;0;1;46;2;2;False
2022-12-18;0;1;49;1;2;False
2022-12-25;0;1;64;1;2;False
2023-01-01;0;1;58;1;3;False
2023-01-08;0;1;49;2;3;False
2023-01-15;0;1;53;2;2;False
2023-01-22;0;1;52;2;2;False
2023-01-29;0;1;59;2;2;False
