date;Ethical business;Ocean Vuong;Tax and spending;Grimsby;air travel;isPartial
2023-01-01;0;2;0;84;7;False
2023-01-02;0;1;0;70;8;False
2023-01-03;2;0;0;69;5;False
2023-01-04;0;0;1;65;8;False
2023-01-05;0;0;0;61;6;False
2023-01-06;1;0;0;68;6;False
2023-01-07;0;0;0;93;5;False
2023-01-08;1;1;1;68;7;False
2023-01-09;2;0;0;63;4;False
2023-01-10;0;0;0;68;7;False
2023-01-11;1;2;0;63;8;False
2023-01-12;2;0;0;63;7;False
2023-01-13;0;0;0;64;5;False
2023-01-14;1;0;0;78;5;False
2023-01-15;0;0;0;55;6;False
2023-01-16;0;0;0;63;6;False
2023-01-17;1;0;0;63;5;False
2023-01-18;2;0;1;65;7;False
2023-01-19;1;1;0;65;6;False
2023-01-20;0;0;0;70;5;False
2023-01-21;1;2;0;77;6;False
2023-01-22;0;0;1;57;6;False
2023-01-23;2;1;0;66;6;False
2023-01-24;2;0;0;67;5;False
2023-01-25;2;0;0;64;7;False
2023-01-26;1;0;0;63;6;False
2023-01-27;1;0;0;66;4;False
2023-01-28;0;0;0;100;6;False
2023-01-29;0;1;0;65;5;False
2023-01-30;2;0;0;76;9;False
2023-01-31;1;0;1;75;7;False
