date;Forced labour;cinema;Robert Graves;Candi Staton;air travel;isPartial
2023-01-01;0;90;0;0;1;False
2023-01-02;0;91;0;0;1;False
2023-01-03;0;74;0;0;1;False
2023-01-04;0;64;0;0;1;False
2023-01-05;0;54;0;0;1;False
2023-01-06;0;74;0;0;1;False
2023-01-07;0;77;0;0;1;False
2023-01-08;0;74;0;0;1;False
2023-01-09;0;51;0;0;1;False
2023-01-10;0;60;0;0;1;False
2023-01-11;0;55;0;0;1;False
2023-01-12;0;64;0;0;1;False
2023-01-13;0;71;0;0;1;False
2023-01-14;0;100;0;0;1;False
2023-01-15;0;68;0;0;1;False
2023-01-16;0;46;0;0;1;False
2023-01-17;0;45;0;0;1;False
2023-01-18;0;47;0;0;1;False
2023-01-19;0;47;0;0;1;False
2023-01-20;0;69;1;0;1;False
2023-01-21;0;90;0;0;1;False
2023-01-22;0;67;0;0;1;False
2023-01-23;0;45;0;0;1;False
2023-01-24;0;49;0;0;1;False
2023-01-25;0;52;0;0;1;False
2023-01-26;0;56;0;0;1;False
2023-01-27;0;73;0;0;1;False
2023-01-28;0;93;0;0;1;False
2023-01-29;0;67;0;0;1;False
2023-01-30;0;49;0;0;1;False
2023-01-31;0;52;0;0;1;False
