date;Sadiq Khan;grenfell;Mahatma Gandhi;The Irishman;air travel;isPartial
2022-01-02;12;17;2;11;26;False
2022-01-09;7;26;3;8;30;False
2022-01-16;12;16;4;5;22;False
2022-01-23;6;14;4;6;24;False
2022-01-30;7;16;3;6;28;False
2022-02-06;27;14;3;6;28;False
2022-02-13;18;13;3;6;28;False
2022-02-20;8;14;2;5;28;False
2022-02-27;10;13;3;5;25;False
2022-03-06;7;13;2;5;26;False
2022-03-13;5;14;3;4;26;False
2022-03-20;7;14;2;5;25;False
2022-03-27;4;16;3;6;27;False
2022-04-03;6;17;1;6;25;False
2022-04-10;6;16;2;7;21;False
2022-04-17;6;13;1;5;23;False
2022-04-24;3;14;2;4;24;False
2022-05-01;8;13;3;5;25;False
2022-05-08;12;14;4;4;26;False
2022-05-15;9;15;3;5;27;False
2022-05-22;9;15;2;5;25;False
2022-05-29;11;16;2;8;26;False
2022-06-05;10;24;4;6;29;False
2022-06-12;6;100;3;4;26;False
2022-06-19;5;23;3;4;23;False
2022-06-26;8;13;3;3;25;False
2022-07-03;12;12;2;5;27;False
2022-07-10;9;12;3;5;28;False
2022-07-17;10;15;2;5;26;False
2022-07-24;4;12;2;6;26;False
2022-07-31;5;11;1;6;23;False
2022-08-07;3;8;1;6;23;False
2022-08-14;7;9;3;5;22;False
2022-08-21;4;8;2;5;19;False
2022-08-28;7;12;2;4;21;False
2022-09-04;9;12;5;5;23;False
2022-09-11;5;12;6;3;20;False
2022-09-18;4;11;5;4;20;False
2022-09-25;5;10;5;4;20;False
2022-10-02;5;10;4;4;19;False
2022-10-09;6;11;2;4;18;False
2022-10-16;7;9;2;4;17;False
2022-10-23;13;10;2;4;15;False
2022-10-30;7;9;3;4;15;False
2022-11-06;5;26;3;4;17;False
2022-11-13;5;14;4;6;14;False
2022-11-20;7;10;2;5;18;False
2022-11-27;7;11;3;7;18;False
2022-12-04;5;10;2;6;15;False
2022-12-11;4;15;2;4;15;False
2022-12-18;7;13;2;6;14;False
2022-12-25;4;9;2;9;19;False
2023-01-01;5;10;3;7;22;False
2023-01-08;8;42;2;7;20;False
2023-01-15;11;23;2;5;20;False
2023-01-22;12;11;2;5;18;False
2023-01-29;12;22;4;6;20;False
