date;elephants;el chapo;dementia;European Central Bank;air travel;isPartial
2022-01-02;13;5;62;1;12;False
2022-01-09;12;4;67;0;13;False
2022-01-16;13;4;63;0;10;False
2022-01-23;14;4;65;0;11;False
2022-01-30;13;4;66;1;12;False
2022-02-06;13;3;63;0;12;False
2022-02-13;12;3;64;0;13;False
2022-02-20;13;3;64;0;13;False
2022-02-27;12;3;63;1;11;False
2022-03-06;13;3;58;0;12;False
2022-03-13;14;3;76;1;12;False
2022-03-20;13;2;63;0;11;False
2022-03-27;19;3;73;0;12;False
2022-04-03;13;2;63;0;11;False
2022-04-10;14;3;54;0;10;False
2022-04-17;13;3;57;0;11;False
2022-04-24;12;3;70;1;11;False
2022-05-01;14;3;66;0;11;False
2022-05-08;13;3;65;0;12;False
2022-05-15;12;3;83;0;12;False
2022-05-22;11;3;65;0;11;False
2022-05-29;11;2;53;0;12;False
2022-06-05;13;3;67;0;13;False
2022-06-12;14;2;58;1;11;False
2022-06-19;13;3;60;0;11;False
2022-06-26;13;3;55;0;11;False
2022-07-03;11;5;55;0;12;False
2022-07-10;12;3;57;0;12;False
2022-07-17;11;3;64;1;12;False
2022-07-24;11;3;62;0;12;False
2022-07-31;12;3;58;0;10;False
2022-08-07;11;4;61;0;10;False
2022-08-14;10;3;60;0;10;False
2022-08-21;11;3;58;0;9;False
2022-08-28;12;3;56;0;10;False
2022-09-04;11;3;56;0;10;False
2022-09-11;12;3;61;0;9;False
2022-09-18;11;3;57;0;9;False
2022-09-25;12;3;62;1;9;False
2022-10-02;12;2;83;0;8;False
2022-10-09;11;2;95;0;8;False
2022-10-16;11;2;81;0;7;False
2022-10-23;11;2;68;1;7;False
2022-10-30;10;3;64;0;7;False
2022-11-06;11;2;66;0;8;False
2022-11-13;12;2;65;1;6;False
2022-11-20;11;2;63;0;8;False
2022-11-27;11;2;75;0;8;False
2022-12-04;10;2;58;0;7;False
2022-12-11;10;3;57;0;7;False
2022-12-18;9;3;59;0;6;False
2022-12-25;11;3;59;0;8;False
2023-01-01;12;27;64;0;10;False
2023-01-08;13;12;80;0;9;False
2023-01-15;12;8;100;0;9;False
2023-01-22;12;6;77;0;8;False
2023-01-29;13;6;77;1;9;False
