date;Pregnancy;Scottish Premiership;Ken Loach;Australian film;air travel;isPartial
2023-01-01;90;2;0;0;3;False
2023-01-02;98;14;1;0;3;False
2023-01-03;100;2;1;0;2;False
2023-01-04;96;2;1;0;3;False
2023-01-05;96;1;0;0;2;False
2023-01-06;92;2;0;1;2;False
2023-01-07;85;8;0;0;2;False
2023-01-08;93;7;0;0;3;False
2023-01-09;92;1;0;0;2;False
2023-01-10;90;1;0;0;3;False
2023-01-11;88;1;0;0;3;False
2023-01-12;90;1;1;0;3;False
2023-01-13;81;2;0;0;2;False
2023-01-14;81;6;0;0;2;False
2023-01-15;88;3;0;0;2;False
2023-01-16;91;1;0;0;2;False
2023-01-17;87;1;0;0;2;False
2023-01-18;87;8;2;0;3;False
2023-01-19;88;3;0;1;2;False
2023-01-20;87;1;1;1;2;False
2023-01-21;87;3;0;1;2;False
2023-01-22;88;2;0;0;2;False
2023-01-23;90;1;0;0;2;False
2023-01-24;90;1;0;1;2;False
2023-01-25;90;1;0;0;3;False
2023-01-26;87;1;0;0;2;False
2023-01-27;84;1;0;0;2;False
2023-01-28;81;9;1;0;2;False
2023-01-29;83;7;0;1;2;False
2023-01-30;96;1;0;0;3;False
2023-01-31;96;2;0;0;3;False
