date;Edward Enninful;Ed Sheeran;Manu Tuilagi;Leif Ove Andsnes;air travel;isPartial
2022-01-01;0;100;0;0;2;False
2022-01-02;0;27;0;0;3;False
2022-01-03;1;18;0;0;3;False
2022-01-04;0;19;0;0;3;False
2022-01-05;0;15;0;0;4;False
2022-01-06;0;13;0;0;3;False
2022-01-07;0;18;0;0;3;False
2022-01-08;0;22;0;0;4;False
2022-01-09;0;21;1;0;3;False
2022-01-10;0;16;0;0;5;False
2022-01-11;0;14;1;0;4;False
2022-01-12;0;14;10;0;4;False
2022-01-13;0;16;1;0;5;False
2022-01-14;0;21;0;0;4;False
2022-01-15;0;26;1;0;3;False
2022-01-16;0;22;1;0;4;False
2022-01-17;0;14;0;0;3;False
2022-01-18;0;13;1;0;3;False
2022-01-19;0;17;0;0;4;False
2022-01-20;0;16;0;0;3;False
2022-01-21;0;18;0;0;2;False
2022-01-22;1;18;0;0;3;False
2022-01-23;0;16;0;0;4;False
2022-01-24;0;14;0;0;5;False
2022-01-25;0;14;0;0;3;False
2022-01-26;0;17;0;0;3;False
2022-01-27;0;14;0;0;4;False
2022-01-28;0;19;0;0;3;False
2022-01-29;0;21;1;0;3;False
2022-01-30;0;16;0;0;4;False
2022-01-31;0;13;1;0;4;False
