date;Wildfires;Relationships;The Times;Newspapers;air travel;isPartial
2022-01-01;1;7;100;32;2;False
2022-01-02;1;10;85;13;4;False
2022-01-03;1;11;77;13;3;False
2022-01-04;1;11;53;11;4;False
2022-01-05;1;11;56;12;5;False
2022-01-06;1;11;49;10;4;False
2022-01-07;0;11;56;11;4;False
2022-01-08;1;10;62;10;5;False
2022-01-09;0;12;64;12;4;False
2022-01-10;0;15;56;13;6;False
2022-01-11;0;12;54;10;5;False
2022-01-12;1;12;60;11;4;False
2022-01-13;1;13;61;11;7;False
2022-01-14;0;11;50;11;6;False
2022-01-15;0;10;63;11;4;False
2022-01-16;1;11;75;13;5;False
2022-01-17;1;13;57;15;4;False
2022-01-18;1;11;55;11;4;False
2022-01-19;0;11;53;10;5;False
2022-01-20;1;12;52;9;4;False
2022-01-21;1;8;52;12;3;False
2022-01-22;0;9;59;11;4;False
2022-01-23;1;10;58;13;5;False
2022-01-24;1;14;64;12;6;False
2022-01-25;0;13;52;12;3;False
2022-01-26;1;13;53;10;4;False
2022-01-27;1;10;48;12;5;False
2022-01-28;0;9;58;11;3;False
2022-01-29;0;7;60;11;4;False
2022-01-30;0;10;61;11;5;False
2022-01-31;0;10;58;12;6;False
