date;sexual harassment;universities;higher education;gaming;air travel;isPartial
2022-01-01;1;7;1;74;2;False
2022-01-02;0;10;3;83;3;False
2022-01-03;1;10;2;79;3;False
2022-01-04;0;10;2;76;3;False
2022-01-05;1;13;2;69;4;False
2022-01-06;0;11;3;65;3;False
2022-01-07;1;10;3;70;3;False
2022-01-08;0;11;2;80;4;False
2022-01-09;0;13;3;81;3;False
2022-01-10;1;13;4;67;5;False
2022-01-11;1;15;4;61;4;False
2022-01-12;1;13;5;70;4;False
2022-01-13;1;14;5;61;6;False
2022-01-14;1;13;3;58;5;False
2022-01-15;0;12;2;74;4;False
2022-01-16;1;14;3;80;4;False
2022-01-17;0;12;4;58;4;False
2022-01-18;2;13;5;68;3;False
2022-01-19;1;13;4;56;4;False
2022-01-20;1;13;3;61;3;False
2022-01-21;1;12;3;58;2;False
2022-01-22;1;11;2;68;3;False
2022-01-23;0;11;3;72;4;False
2022-01-24;2;18;5;100;5;False
2022-01-25;0;17;4;69;3;False
2022-01-26;1;14;4;66;4;False
2022-01-27;1;10;3;59;4;False
2022-01-28;0;16;2;64;3;False
2022-01-29;0;9;2;73;3;False
2022-01-30;1;9;3;67;4;False
2022-01-31;0;10;4;61;5;False
