date;Care workers;Home Office;Immigration and asylum;Jane Campion;air travel;isPartial
2022-01-01;6;47;0;5;8;False
2022-01-02;4;51;1;3;15;False
2022-01-03;7;68;0;4;12;False
2022-01-04;9;86;0;0;13;False
2022-01-05;11;73;0;1;19;False
2022-01-06;10;74;0;0;15;False
2022-01-07;16;67;0;3;15;False
2022-01-08;9;63;0;0;17;False
2022-01-09;8;56;0;0;13;False
2022-01-10;11;87;0;7;24;False
2022-01-11;8;75;0;3;19;False
2022-01-12;8;84;1;2;16;False
2022-01-13;8;82;0;2;24;False
2022-01-14;6;68;0;2;20;False
2022-01-15;6;58;2;5;16;False
2022-01-16;7;58;1;0;18;False
2022-01-17;7;83;3;2;16;False
2022-01-18;10;67;0;1;14;False
2022-01-19;10;63;0;1;18;False
2022-01-20;10;61;0;5;13;False
2022-01-21;11;63;0;0;9;False
2022-01-22;8;43;2;0;13;False
2022-01-23;5;61;0;5;17;False
2022-01-24;8;100;2;3;24;False
2022-01-25;9;69;0;0;12;False
2022-01-26;11;74;0;0;16;False
2022-01-27;10;74;0;1;17;False
2022-01-28;9;68;0;0;12;False
2022-01-29;8;48;0;5;15;False
2022-01-30;9;57;0;3;17;False
2022-01-31;14;81;0;1;20;False
