date;Castres;Sam Kerr;Norwich City;Azeem Rafiq;air travel;isPartial
2022-01-01;0;0;16;1;3;False
2022-01-02;0;1;16;0;6;False
2022-01-03;0;1;12;1;5;False
2022-01-04;0;0;13;0;5;False
2022-01-05;0;1;14;0;8;False
2022-01-06;0;1;10;0;6;False
2022-01-07;0;1;15;0;6;False
2022-01-08;0;0;16;0;7;False
2022-01-09;0;0;48;0;6;False
2022-01-10;0;1;20;0;10;False
2022-01-11;2;0;15;1;8;False
2022-01-12;0;0;58;1;7;False
2022-01-13;0;1;20;0;10;False
2022-01-14;6;1;15;4;9;False
2022-01-15;0;1;100;0;7;False
2022-01-16;1;0;25;2;7;False
2022-01-17;0;1;16;0;7;False
2022-01-18;0;1;13;1;6;False
2022-01-19;0;0;14;0;8;False
2022-01-20;1;0;15;1;5;False
2022-01-21;12;1;84;0;4;False
2022-01-22;5;0;42;1;5;False
2022-01-23;0;1;13;1;7;False
2022-01-24;0;2;17;0;10;False
2022-01-25;0;0;13;1;5;False
2022-01-26;0;0;11;0;6;False
2022-01-27;0;1;10;1;7;False
2022-01-28;0;0;13;1;5;False
2022-01-29;0;1;20;0;6;False
2022-01-30;0;1;12;0;7;False
2022-01-31;0;0;19;0;8;False
