date;Joe Lycett;Obesity;Question Time;Fiona Bruce;air travel;isPartial
2022-01-01;26;7;2;2;4;False
2022-01-02;27;7;1;1;7;False
2022-01-03;9;8;2;1;6;False
2022-01-04;9;10;1;0;6;False
2022-01-05;8;12;6;0;9;False
2022-01-06;5;8;5;1;7;False
2022-01-07;4;11;2;1;7;False
2022-01-08;9;4;3;1;8;False
2022-01-09;5;8;1;3;6;False
2022-01-10;4;11;4;3;11;False
2022-01-11;4;11;4;2;9;False
2022-01-12;3;11;43;1;8;False
2022-01-13;4;14;24;4;12;False
2022-01-14;3;7;8;3;10;False
2022-01-15;3;7;2;1;8;False
2022-01-16;5;8;4;2;8;False
2022-01-17;2;9;4;1;8;False
2022-01-18;3;10;2;0;7;False
2022-01-19;1;11;20;1;9;False
2022-01-20;2;8;16;1;6;False
2022-01-21;3;8;12;1;4;False
2022-01-22;2;7;3;1;6;False
2022-01-23;3;8;5;1;8;False
2022-01-24;3;10;5;3;11;False
2022-01-25;4;11;3;1;6;False
2022-01-26;4;11;12;2;7;False
2022-01-27;25;9;16;3;8;False
2022-01-28;100;7;9;1;6;False
2022-01-29;46;6;4;3;7;False
2022-01-30;14;6;4;1;8;False
2022-01-31;9;8;5;3;10;False
