date;David Frost;British Olympic Association;UK Sport;Mitchells & Butlers;air travel;isPartial
2022-01-01;7;0;77;3;8;False
2022-01-02;3;0;73;0;15;False
2022-01-03;0;0;64;1;12;False
2022-01-04;3;0;56;0;13;False
2022-01-05;0;0;58;0;18;False
2022-01-06;0;0;56;1;14;False
2022-01-07;0;0;57;2;15;False
2022-01-08;2;0;76;0;17;False
2022-01-09;0;0;73;0;13;False
2022-01-10;2;0;57;1;23;False
2022-01-11;0;0;54;2;19;False
2022-01-12;2;0;70;2;16;False
2022-01-13;2;0;57;4;24;False
2022-01-14;6;4;56;1;20;False
2022-01-15;4;0;100;0;16;False
2022-01-16;2;0;74;0;17;False
2022-01-17;2;0;60;1;15;False
2022-01-18;0;0;64;0;14;False
2022-01-19;4;0;68;1;18;False
2022-01-20;2;0;58;2;13;False
2022-01-21;2;0;60;0;9;False
2022-01-22;4;0;87;0;12;False
2022-01-23;3;0;85;1;16;False
2022-01-24;0;0;60;1;23;False
2022-01-25;0;1;48;1;12;False
2022-01-26;2;0;55;0;15;False
2022-01-27;6;0;44;0;17;False
2022-01-28;2;0;57;0;12;False
2022-01-29;2;0;71;0;14;False
2022-01-30;4;0;80;0;17;False
2022-01-31;2;0;62;1;19;False
