date;britney spears;daily podcast;lockdown;podcasts;air travel;isPartial
2022-01-01;8;0;100;10;2;False
2022-01-02;6;0;93;12;4;False
2022-01-03;6;0;84;11;3;False
2022-01-04;7;1;95;11;3;False
2022-01-05;8;0;60;11;5;False
2022-01-06;12;0;44;10;4;False
2022-01-07;49;0;41;11;4;False
2022-01-08;27;0;36;9;5;False
2022-01-09;16;0;50;10;4;False
2022-01-10;12;1;40;15;6;False
2022-01-11;9;1;45;11;5;False
2022-01-12;8;1;46;13;4;False
2022-01-13;11;0;38;12;6;False
2022-01-14;19;0;49;10;5;False
2022-01-15;14;0;33;9;4;False
2022-01-16;13;1;28;12;5;False
2022-01-17;10;0;27;12;4;False
2022-01-18;13;0;25;12;4;False
2022-01-19;17;0;24;10;5;False
2022-01-20;16;0;23;10;3;False
2022-01-21;11;1;20;9;2;False
2022-01-22;13;0;18;10;3;False
2022-01-23;9;0;19;11;4;False
2022-01-24;9;0;28;11;6;False
2022-01-25;13;0;26;12;3;False
2022-01-26;9;1;19;10;4;False
2022-01-27;8;0;19;9;5;False
2022-01-28;9;0;19;11;3;False
2022-01-29;11;1;15;9;4;False
2022-01-30;8;0;13;11;5;False
2022-01-31;6;0;21;13;5;False
