date;Fish oil;Shamima Begum;My Bloody Valentine;Abba;air travel;isPartial
2022-01-01;7;8;0;100;8;False
2022-01-02;9;6;0;43;15;False
2022-01-03;13;6;2;32;12;False
2022-01-04;9;6;0;37;13;False
2022-01-05;10;5;0;26;19;False
2022-01-06;7;5;0;26;15;False
2022-01-07;10;5;0;38;15;False
2022-01-08;17;3;0;42;17;False
2022-01-09;9;4;2;45;13;False
2022-01-10;9;8;0;37;23;False
2022-01-11;13;3;0;41;19;False
2022-01-12;10;2;0;56;16;False
2022-01-13;9;9;1;39;24;False
2022-01-14;4;3;0;41;20;False
2022-01-15;9;2;0;51;16;False
2022-01-16;12;4;2;39;17;False
2022-01-17;13;1;1;32;16;False
2022-01-18;8;4;3;32;14;False
2022-01-19;8;2;1;30;18;False
2022-01-20;10;1;5;36;13;False
2022-01-21;10;0;3;48;9;False
2022-01-22;7;3;0;46;13;False
2022-01-23;14;3;4;42;17;False
2022-01-24;9;4;1;37;23;False
2022-01-25;9;2;0;39;12;False
2022-01-26;8;12;0;26;15;False
2022-01-27;6;3;0;29;17;False
2022-01-28;7;18;3;49;12;False
2022-01-29;9;10;0;52;14;False
2022-01-30;15;7;2;42;17;False
2022-01-31;8;4;0;35;20;False
