date;Eating disorders;Gatwick airport;Video assistant referees (VARs);Cattle;air travel;isPartial
2022-01-01;6;69;0;66;16;False
2022-01-02;18;87;0;65;30;False
2022-01-03;18;79;0;57;25;False
2022-01-04;19;90;0;62;26;False
2022-01-05;18;66;0;56;37;False
2022-01-06;11;71;0;48;29;False
2022-01-07;17;59;0;54;30;False
2022-01-08;11;84;0;56;34;False
2022-01-09;16;89;0;57;26;False
2022-01-10;23;60;0;52;46;False
2022-01-11;18;67;0;59;38;False
2022-01-12;14;68;0;41;32;False
2022-01-13;25;76;0;60;48;False
2022-01-14;17;63;0;48;40;False
2022-01-15;13;94;0;73;32;False
2022-01-16;22;94;0;64;34;False
2022-01-17;24;82;0;70;31;False
2022-01-18;20;86;0;62;28;False
2022-01-19;18;64;0;59;36;False
2022-01-20;26;59;0;53;26;False
2022-01-21;20;62;0;67;18;False
2022-01-22;7;73;0;54;25;False
2022-01-23;15;82;0;65;33;False
2022-01-24;26;87;0;70;46;False
2022-01-25;22;91;0;58;24;False
2022-01-26;21;53;0;64;31;False
2022-01-27;13;69;0;54;34;False
2022-01-28;14;76;0;58;24;False
2022-01-29;13;80;0;90;29;False
2022-01-30;11;100;0;61;34;False
2022-01-31;27;87;0;68;39;False
