date;Greenland;Fiction in translation;Fontaines DC;Joss Whedon;air travel;isPartial
2022-01-01;43;0;3;0;18;False
2022-01-02;46;0;0;4;33;False
2022-01-03;39;0;3;6;27;False
2022-01-04;29;0;0;0;28;False
2022-01-05;34;0;0;0;40;False
2022-01-06;31;0;3;6;32;False
2022-01-07;31;0;3;11;33;False
2022-01-08;46;0;3;11;37;False
2022-01-09;43;0;6;14;29;False
2022-01-10;40;0;3;2;51;False
2022-01-11;26;0;22;3;41;False
2022-01-12;35;0;13;0;35;False
2022-01-13;31;0;16;4;52;False
2022-01-14;33;0;14;6;44;False
2022-01-15;29;0;13;0;35;False
2022-01-16;32;0;15;0;38;False
2022-01-17;43;0;8;68;34;False
2022-01-18;28;0;5;100;31;False
2022-01-19;26;0;7;51;39;False
2022-01-20;24;0;9;27;28;False
2022-01-21;33;0;11;16;20;False
2022-01-22;44;0;5;11;28;False
2022-01-23;30;0;0;11;36;False
2022-01-24;45;0;7;11;51;False
2022-01-25;30;0;4;5;26;False
2022-01-26;28;0;8;0;33;False
2022-01-27;37;0;0;5;37;False
2022-01-28;35;0;6;5;26;False
2022-01-29;36;0;0;4;31;False
2022-01-30;38;0;8;0;37;False
2022-01-31;37;0;6;6;43;False
