date;hs2;northamptonshire;tennis;retail;air travel;isPartial
2022-01-01;0;2;12;12;1;False
2022-01-02;1;2;17;10;1;False
2022-01-03;1;2;16;12;1;False
2022-01-04;1;2;16;12;1;False
2022-01-05;1;3;18;12;1;False
2022-01-06;1;2;21;11;1;False
2022-01-07;1;2;18;11;1;False
2022-01-08;1;2;21;13;1;False
2022-01-09;1;2;21;11;1;False
2022-01-10;1;3;26;12;2;False
2022-01-11;3;3;21;12;1;False
2022-01-12;2;3;22;11;1;False
2022-01-13;2;3;23;12;2;False
2022-01-14;1;3;27;11;1;False
2022-01-15;1;2;40;11;1;False
2022-01-16;1;2;32;11;1;False
2022-01-17;1;2;29;12;1;False
2022-01-18;1;2;41;11;1;False
2022-01-19;1;3;25;10;1;False
2022-01-20;1;3;37;11;1;False
2022-01-21;1;2;27;11;1;False
2022-01-22;1;2;28;11;1;False
2022-01-23;1;2;27;10;1;False
2022-01-24;3;3;28;14;2;False
2022-01-25;1;2;28;11;1;False
2022-01-26;1;3;31;11;1;False
2022-01-27;1;2;25;11;1;False
2022-01-28;2;2;33;10;1;False
2022-01-29;1;2;42;11;1;False
2022-01-30;1;2;100;10;1;False
2022-01-31;1;2;22;12;1;False
