date;Kent holidays;Birdwatching;Sarah Moss;Shopping trips;air travel;isPartial
2022-01-01;17;5;8;7;34;False
2022-01-02;16;7;0;6;63;False
2022-01-03;26;7;4;0;51;False
2022-01-04;12;0;0;0;54;False
2022-01-05;14;0;20;6;77;False
2022-01-06;10;10;0;9;61;False
2022-01-07;7;20;0;5;63;False
2022-01-08;0;20;7;0;71;False
2022-01-09;18;12;0;0;55;False
2022-01-10;12;5;5;0;97;False
2022-01-11;20;5;0;0;79;False
2022-01-12;0;4;35;0;67;False
2022-01-13;12;12;13;6;100;False
2022-01-14;0;13;0;6;84;False
2022-01-15;8;14;0;11;66;False
2022-01-16;22;11;0;0;72;False
2022-01-17;11;0;0;0;65;False
2022-01-18;16;0;8;0;59;False
2022-01-19;25;10;12;0;74;False
2022-01-20;0;0;0;0;54;False
2022-01-21;15;0;7;0;38;False
2022-01-22;19;9;0;7;53;False
2022-01-23;23;8;7;0;69;False
2022-01-24;21;12;0;5;97;False
2022-01-25;12;0;17;0;49;False
2022-01-26;13;0;0;0;64;False
2022-01-27;12;0;0;5;71;False
2022-01-28;12;10;0;0;49;False
2022-01-29;11;0;5;0;60;False
2022-01-30;19;0;0;6;71;False
2022-01-31;12;0;5;0;82;False
