date;Netball;England netball team;Oil spills;Benjamin Netanyahu;air travel;isPartial
2022-01-01;14;0;0;0;4;False
2022-01-02;15;0;0;1;8;False
2022-01-03;20;0;0;1;7;False
2022-01-04;20;1;0;0;7;False
2022-01-05;23;0;0;0;10;False
2022-01-06;21;0;0;1;8;False
2022-01-07;17;0;0;0;8;False
2022-01-08;20;1;0;1;9;False
2022-01-09;24;0;0;0;7;False
2022-01-10;26;0;0;0;13;False
2022-01-11;27;0;0;0;10;False
2022-01-12;23;0;1;0;9;False
2022-01-13;25;0;0;0;13;False
2022-01-14;23;0;0;0;11;False
2022-01-15;54;0;0;0;9;False
2022-01-16;63;2;0;1;9;False
2022-01-17;41;2;1;0;8;False
2022-01-18;72;2;0;0;8;False
2022-01-19;100;3;0;0;10;False
2022-01-20;38;0;0;0;7;False
2022-01-21;25;0;0;0;5;False
2022-01-22;32;0;0;2;7;False
2022-01-23;34;0;0;0;9;False
2022-01-24;39;0;0;2;13;False
2022-01-25;29;0;0;0;6;False
2022-01-26;30;0;1;1;8;False
2022-01-27;26;0;0;0;9;False
2022-01-28;25;1;0;0;6;False
2022-01-29;29;1;0;0;8;False
2022-01-30;32;0;0;0;9;False
2022-01-31;28;1;1;2;11;False
