date;Art theft;Further education;Students;Primary schools;air travel;isPartial
2022-01-01;0;1;41;12;4;False
2022-01-02;1;0;60;21;8;False
2022-01-03;1;1;65;23;7;False
2022-01-04;0;2;76;25;7;False
2022-01-05;0;2;75;20;10;False
2022-01-06;0;2;79;16;8;False
2022-01-07;0;2;76;19;8;False
2022-01-08;0;1;61;16;9;False
2022-01-09;0;0;68;18;7;False
2022-01-10;0;3;92;27;13;False
2022-01-11;1;2;82;25;10;False
2022-01-12;0;2;82;24;9;False
2022-01-13;0;3;82;22;13;False
2022-01-14;0;2;75;15;11;False
2022-01-15;0;0;66;20;9;False
2022-01-16;0;1;67;14;10;False
2022-01-17;1;3;90;18;9;False
2022-01-18;0;4;83;19;8;False
2022-01-19;0;3;80;22;10;False
2022-01-20;0;3;82;17;7;False
2022-01-21;0;2;74;17;5;False
2022-01-22;0;3;57;11;7;False
2022-01-23;0;2;76;16;9;False
2022-01-24;0;3;100;21;13;False
2022-01-25;0;2;88;23;7;False
2022-01-26;0;2;86;19;8;False
2022-01-27;0;3;80;23;9;False
2022-01-28;0;4;73;17;7;False
2022-01-29;0;3;56;12;8;False
2022-01-30;1;2;56;14;9;False
2022-01-31;0;2;82;16;11;False
