date;Epidemics;English National Opera (ENO);Paul Thomas Anderson;Haim;air travel;isPartial
2022-01-01;7;0;36;32;34;False
2022-01-02;0;0;29;44;63;False
2022-01-03;0;0;25;35;51;False
2022-01-04;0;0;22;49;54;False
2022-01-05;0;0;25;33;77;False
2022-01-06;5;0;18;30;61;False
2022-01-07;0;0;38;48;63;False
2022-01-08;0;0;36;60;71;False
2022-01-09;5;0;37;59;55;False
2022-01-10;17;0;22;60;97;False
2022-01-11;5;0;27;26;79;False
2022-01-12;0;0;0;25;67;False
2022-01-13;6;0;9;47;100;False
2022-01-14;7;0;27;33;84;False
2022-01-15;0;0;21;55;66;False
2022-01-16;6;0;38;37;72;False
2022-01-17;4;0;0;45;65;False
2022-01-18;7;0;16;35;59;False
2022-01-19;9;0;11;17;74;False
2022-01-20;0;0;16;38;54;False
2022-01-21;0;0;22;13;38;False
2022-01-22;0;0;41;44;53;False
2022-01-23;0;0;29;29;69;False
2022-01-24;0;0;8;31;97;False
2022-01-25;0;0;23;26;49;False
2022-01-26;0;0;16;41;64;False
2022-01-27;0;0;17;31;71;False
2022-01-28;7;0;0;37;49;False
2022-01-29;0;0;9;33;60;False
2022-01-30;0;0;17;32;71;False
2022-01-31;0;0;13;41;82;False
