date;Travel guides;Persimmon;Stamp duty;Mortgage lending figures;air travel;isPartial
2022-01-01;0;16;49;0;9;False
2022-01-02;0;25;45;0;16;False
2022-01-03;1;27;60;0;13;False
2022-01-04;0;32;75;0;14;False
2022-01-05;0;32;92;0;20;False
2022-01-06;2;30;84;0;16;False
2022-01-07;0;33;93;0;16;False
2022-01-08;0;32;80;0;18;False
2022-01-09;0;23;69;0;14;False
2022-01-10;3;43;97;0;25;False
2022-01-11;0;33;94;0;20;False
2022-01-12;0;27;88;0;17;False
2022-01-13;0;53;94;0;26;False
2022-01-14;0;38;80;0;22;False
2022-01-15;2;35;86;0;17;False
2022-01-16;0;34;85;0;18;False
2022-01-17;2;45;96;0;17;False
2022-01-18;3;31;100;0;15;False
2022-01-19;1;27;90;0;19;False
2022-01-20;0;34;80;0;14;False
2022-01-21;0;30;84;0;10;False
2022-01-22;4;34;76;0;14;False
2022-01-23;1;23;68;0;18;False
2022-01-24;0;42;99;0;25;False
2022-01-25;1;38;94;0;13;False
2022-01-26;1;30;88;0;16;False
2022-01-27;2;27;100;0;18;False
2022-01-28;0;27;80;0;13;False
2022-01-29;3;25;77;0;15;False
2022-01-30;0;24;75;0;18;False
2022-01-31;0;30;91;0;21;False
