date;Rail travel;A Quiet Place;Teacher shortages;European Space Agency;air travel;isPartial
2022-01-01;2;18;0;0;8;False
2022-01-02;6;9;0;0;15;False
2022-01-03;3;11;0;0;12;False
2022-01-04;5;7;0;1;13;False
2022-01-05;5;6;0;0;18;False
2022-01-06;2;6;0;0;14;False
2022-01-07;5;80;0;0;15;False
2022-01-08;3;100;0;0;17;False
2022-01-09;4;73;0;0;13;False
2022-01-10;5;34;0;0;23;False
2022-01-11;6;19;0;2;18;False
2022-01-12;5;19;0;0;16;False
2022-01-13;3;20;0;0;23;False
2022-01-14;4;23;0;2;20;False
2022-01-15;6;36;0;0;15;False
2022-01-16;6;36;0;0;17;False
2022-01-17;5;12;0;0;15;False
2022-01-18;4;9;2;0;14;False
2022-01-19;5;10;0;0;17;False
2022-01-20;6;7;0;0;13;False
2022-01-21;2;11;0;0;9;False
2022-01-22;8;28;0;1;12;False
2022-01-23;5;19;0;0;16;False
2022-01-24;7;11;0;0;23;False
2022-01-25;10;5;0;1;12;False
2022-01-26;4;2;0;0;15;False
2022-01-27;9;9;1;0;17;False
2022-01-28;6;11;1;0;12;False
2022-01-29;4;12;2;4;14;False
2022-01-30;6;12;2;0;17;False
2022-01-31;8;14;0;1;19;False
