date;Denmark;Belgium;Birmingham;Wales;air travel;isPartial
2022-01-01;3;2;60;48;0;False
2022-01-02;5;3;66;53;1;False
2022-01-03;4;3;65;50;1;False
2022-01-04;3;3;67;59;1;False
2022-01-05;4;3;61;56;1;False
2022-01-06;3;4;65;50;1;False
2022-01-07;3;3;63;51;1;False
2022-01-08;3;3;75;50;1;False
2022-01-09;3;4;68;47;1;False
2022-01-10;4;4;71;56;1;False
2022-01-11;3;4;67;49;1;False
2022-01-12;3;4;67;44;1;False
2022-01-13;4;3;64;49;1;False
2022-01-14;3;3;63;48;1;False
2022-01-15;4;3;73;47;1;False
2022-01-16;3;5;66;50;1;False
2022-01-17;4;4;62;51;1;False
2022-01-18;3;4;70;49;1;False
2022-01-19;3;4;60;44;1;False
2022-01-20;3;4;63;46;1;False
2022-01-21;4;4;68;48;1;False
2022-01-22;4;3;77;42;1;False
2022-01-23;4;4;68;41;1;False
2022-01-24;5;5;80;59;1;False
2022-01-25;3;4;69;48;1;False
2022-01-26;5;3;65;45;1;False
2022-01-27;4;3;64;47;1;False
2022-01-28;4;3;74;51;1;False
2022-01-29;3;4;72;100;1;False
2022-01-30;3;4;80;55;1;False
2022-01-31;4;4;74;54;1;False
