date;Bono;Winter food and drink;Soup;Pork;air travel;isPartial
2022-01-01;3;0;72;56;2;False
2022-01-02;3;0;90;57;3;False
2022-01-03;4;0;100;39;2;False
2022-01-04;3;0;93;38;2;False
2022-01-05;3;0;86;37;4;False
2022-01-06;3;0;87;34;3;False
2022-01-07;3;0;74;37;3;False
2022-01-08;4;0;91;56;3;False
2022-01-09;2;0;94;78;3;False
2022-01-10;3;0;87;42;4;False
2022-01-11;3;0;75;36;4;False
2022-01-12;3;0;70;37;3;False
2022-01-13;1;0;74;38;5;False
2022-01-14;2;0;62;35;4;False
2022-01-15;3;0;86;50;3;False
2022-01-16;3;0;97;79;3;False
2022-01-17;3;0;80;39;3;False
2022-01-18;2;0;73;39;3;False
2022-01-19;5;0;62;40;3;False
2022-01-20;3;0;75;38;2;False
2022-01-21;2;0;63;35;2;False
2022-01-22;3;0;80;47;2;False
2022-01-23;2;0;81;69;3;False
2022-01-24;3;0;82;45;4;False
2022-01-25;2;0;67;34;2;False
2022-01-26;2;0;66;34;3;False
2022-01-27;2;0;59;32;3;False
2022-01-28;3;0;60;33;2;False
2022-01-29;4;0;73;44;3;False
2022-01-30;4;0;74;73;3;False
2022-01-31;3;0;100;40;4;False
