date;Horse racing;British Horseracing Authority;Horse racing tips;China;air travel;isPartial
2022-01-01;86;0;6;94;2;False
2022-01-02;59;0;3;83;4;False
2022-01-03;54;0;1;79;3;False
2022-01-04;57;0;3;84;3;False
2022-01-05;55;0;4;83;5;False
2022-01-06;55;0;3;77;4;False
2022-01-07;60;0;3;84;4;False
2022-01-08;78;0;6;89;4;False
2022-01-09;49;1;4;79;3;False
2022-01-10;47;0;4;96;6;False
2022-01-11;50;0;2;81;5;False
2022-01-12;54;0;2;83;4;False
2022-01-13;55;0;3;88;6;False
2022-01-14;63;0;3;82;5;False
2022-01-15;85;0;5;92;4;False
2022-01-16;58;0;3;84;4;False
2022-01-17;54;0;3;82;4;False
2022-01-18;54;0;3;75;4;False
2022-01-19;50;0;2;71;5;False
2022-01-20;50;1;2;71;3;False
2022-01-21;65;1;6;81;2;False
2022-01-22;85;1;5;85;3;False
2022-01-23;53;0;4;76;4;False
2022-01-24;58;0;3;89;6;False
2022-01-25;49;0;3;78;3;False
2022-01-26;54;0;3;77;4;False
2022-01-27;55;0;4;78;4;False
2022-01-28;70;0;4;92;3;False
2022-01-29;100;1;7;92;4;False
2022-01-30;59;0;3;75;4;False
2022-01-31;55;0;2;79;5;False
