date;Rio de Janeiro;Mafia;Nursing and midwifery;Diamonds;air travel;isPartial
2022-01-01;16;73;0;84;10;False
2022-01-02;9;65;3;84;19;False
2022-01-03;12;60;0;84;15;False
2022-01-04;12;54;0;88;16;False
2022-01-05;14;60;0;64;23;False
2022-01-06;11;41;5;77;18;False
2022-01-07;11;54;1;72;19;False
2022-01-08;14;71;4;78;21;False
2022-01-09;18;58;3;76;17;False
2022-01-10;10;46;3;73;29;False
2022-01-11;10;41;0;66;24;False
2022-01-12;16;47;4;73;20;False
2022-01-13;10;49;2;73;30;False
2022-01-14;14;51;0;61;25;False
2022-01-15;10;62;3;79;20;False
2022-01-16;12;62;4;87;22;False
2022-01-17;16;49;3;68;19;False
2022-01-18;9;38;5;77;18;False
2022-01-19;13;39;2;59;22;False
2022-01-20;17;32;0;68;16;False
2022-01-21;9;41;4;64;11;False
2022-01-22;9;58;0;86;16;False
2022-01-23;12;55;0;100;21;False
2022-01-24;19;49;0;74;29;False
2022-01-25;13;39;5;70;15;False
2022-01-26;7;39;0;59;19;False
2022-01-27;10;42;1;62;21;False
2022-01-28;10;42;3;72;15;False
2022-01-29;11;50;0;86;18;False
2022-01-30;12;52;0;86;21;False
2022-01-31;13;53;1;67;25;False
